"Quotation Report - Date : January-28, 2026 10:59 AM",,,,,,,,,,,,,
No,Number,Company,Date,Type,Client,Project Name,Description,Material,Material Code,Quo. Value,Cur.,MVL Contact,Status
6001,RFQ-2797-S9081,MACRO,16 Dec 2019,RFQ,Tetra T.,"(FPT2) W5J9JE18C0008 AFGHANISTAN NATIONAL POLICE (ANP) WOMEN&acirc;S PARTICIPATION PROGRAM, POLICE TOWN PHASE II","KB003 (RFP-0003), User Changes &ndash; Revise ECP Design",Subcontract,Services,4497,USD, ,Order
6002,Q-1192-F10134,FIRESTOP,16 Dec 2019,IQ,Al O.C.,RESIDENTIAL BUILDING GR+4 PODIUM+3 TOWERS ( TOWER A 39 FLOORS/ TOWER B &amp; C 29 FLOORS) PLOT JVC10RHRA200,SUPPLY OF INSS1186,Firestop/ DC 315,Fire,597.45,AED,Habib B.,Quotation
6003,Q-1192-F10133,FIRESTOP,16 Dec 2019,IQ,Al O.C.,224-BLOOM HEIGHTS- G+4P+2 TOWERS-29 &amp; 24 FLOORS,SUPPLY OF INSS0285 5G PAIL AND SAUSAGE,Firestop/ DC 315,Fire,325.5,AED,Habib B.,Quotation
6004,Q-1192-F10132,FIRESTOP,16 Dec 2019,IQ,Al R.A.,FIRESTOPPING PROJECT,SUPPLY OF INSS2460 BLACK,Firestop/ DC 315,Fire,1732.5,AED,Samar T.,Order
6005,Q-1192-F10131,FIRESTOP,15 Dec 2019,IQ,Al F.A.,FIRESTOPPING PROJECT,SUPPLY OF INSS2460 BLACK,Firestop/ DC 315,Fire,28350,AED,Muhammad N.,Order
6006,Q-1192-F10130,FIRESTOP,15 Dec 2019,IQ,Dubco C.L.,"LABOUR ACCOMMODATION BUILDING B+G+4+R, PLOT NO: 5992096# JEBELALI INDUSTRIAL AREA 1ST#LPO Q4-19223",SUPPLY OF INSS1186 AND HOSE CLAMPS,Firestop/ DC 315,Fire,3713.83,AED,Islam S.,Order
6007,Q-1192-F10129,FIRESTOP,15 Dec 2019,IQ,Pivot E.&.,"EREC Building No. 43, ESMA, Dubai",Supply Of Fire Stop Materials MEP,Firestop/ DC 315,Fire,17283.08,AED,M.hassan ,Quotation
6008,RFQ-2569-S9078,MVL-Al Othman,15 Dec 2019,RFQ,Trans A.G.,"W912ER18C0020 - PERIMETER SECURITY FENCE, Camp Arifjan, Kuwait",Segment Removal And Addition Of An 8 Meter Swing Gate,Subcontract,Services,13978.68,USD, ,Quotation
6009,Q-1192-F10099A,FIRESTOP,15 Dec 2019,IQ,Delta A.C.,ANCHOR BOLTS- INDEX MTP-A4,SUPPLY OF INDEX MTP-A4 ANCHOR BOLTS,Firestop/ DC 315,Fire,498.75,AED,Islam S.,Order
6010,Q-1192-F10119D,FIRESTOP,15 Dec 2019,IQ,Think T.C.,FIRESTOPPING PROJECT,SUPPLY OF DC68,Firestop/ DC 315,Fire,409.5,AED,Karim E.,Order
6011,RFQ-2569-V4256,MVL-Al Othman,15 Dec 2019,RFQ,Clic N.I.,Supply Of 8 Meter Double Leaf Swing Gate,8 Meter Double Leaf Swing Gate,Building Materials,Various,2750,USD, ,Order
6012,Q-1192-F9632A,FIRESTOP,15 Dec 2019,IQ,New S.E.,JOB # 56 MAZEN ABDUL MAJID_PO # 18146,SUPPLY OF MEP MATERIALS,Firestop/ DC 315,Fire,18443.25,AED,Muhammad N.,Order
6013,Q-1192-F10114A,FIRESTOP,15 Dec 2019,IQ,Eversafe C.L.,JOB 933-G+4  # PO/19 ECL 2007,"SUPPLY OF INFS0812, D64",Firestop/ DC 315,Fire,4701.38,AED,Islam S.,Order
6014,Q-1192-F10128,FIRESTOP,12 Dec 2019,IQ,Trojan G.C.,ANCHOR BOLTS,SUPPLY OF TNUX STAINLESS STEEL ANCHORS,Firestop/ DC 315,Fire,3.43,AED,M.hassan ,Quotation
6015,Q-1192-F10127,FIRESTOP,11 Dec 2019,IQ,3d C.L.,FIRESTOPPING PROJECT,SUPPLY OF INSS1186 & INSS1440,Firestop/ DC 315,Fire,39.9,AED,Samar T.,Quotation
6016,RFQ-3734-S9076,"MVL USA, INC",11 Dec 2019,RFQ,Ancd -.A.,"(QTR-173) W912ER-19-C-0016 Consolidated Squadron Operations Facility, Al Udeid Air Base, State Of Qatar",SUBC ORD-3734-S9076.00 CIVIL WORKS (Package 1),Subcontract,Services,1749626.62,USD, ,Order
6017,Q-1192-F10119C,FIRESTOP,11 Dec 2019,IQ,Think T.C.,FIRESTOPPING PROJECT,SUPPLY OF DC68,Firestop/ DC 315,Fire,409.5,AED,M.hassan ,Order
6018,Q-1192-F10119B,FIRESTOP,11 Dec 2019,IQ,Think T.C.,FIRESTOPPING PROJECT,SUPPLY OF DC68,Firestop/ DC 315,Fire,409.5,AED,M.hassan ,Quotation
6019,RFQ-1569-O15,MVL Nepal,10 Dec 2019,RFQ,Codegreen S.,Head Office - Sophos SG230 Renewal,Sophos SG230 Renewal,Computer Peripherals,Office Assets,8242.5,AED, ,Order
