"Quotation Report - Date : January-28, 2026 10:59 AM",,,,,,,,,,,,,
No,Number,Company,Date,Type,Client,Project Name,Description,Material,Material Code,Quo. Value,Cur.,MVL Contact,Status
3001,Q-1192-F12093,FIRESTOP,19 Oct 2022,IQ,Al F.F.,PARK INN#ATCON#JVT#000004,"SUPPLY OF INSS1186, INSS1440",Firestop/ DC 315,Fire,6016.5,AED,Ajeesh J.,Order
3002,Q-1192-F12072A,FIRESTOP,19 Oct 2022,IQ,Rimal I.S.,Abudhabi Midfield# LPO 159/2022,SUPPLY OF INSS1440 5G PAIL,Firestop/ DC 315,Fire,4200,AED,Islam S.,Order
3003,RFQ-5410-V40001,"MVL USA, INC",19 Oct 2022,RFQ,Gibraltar P.S.,(KUW-135) GE5019R0095 REPLACEMENT OF EXISTING ANTI-RAM HYDRAULIC VEHICLE BARRIER AT US EMBASSY KUWAIT,VEHICLE BARRIER,Building Materials,Various,306785,USD, ,Order
3004,Q-1192-F12092,FIRESTOP,19 Oct 2022,IQ,New V.A.,STRUCTURAL &amp; WEATHER SEALANT,SUPPLY NWS&amp;SGS,Firestop/ DC 315,Fire,98733.6,USD,Habib B.,Quotation
3005,Q-1192-F12091,FIRESTOP,19 Oct 2022,IQ,Fibrex L.,"5 STAR HOTEL AND HOTEL APARTMENTS DEVELOPMENT, RAS AL KHAIMAH",SUPPLY OF INSS1186,Firestop/ DC 315,Fire,23.33,AED,Dinesh M.,Quotation
3006,Q-1192-F12090,FIRESTOP,18 Oct 2022,IQ,Jpm A.T.,2B+G+11 FLOOR- OST # LPO JPM/MVL/0257/2022,SUPPLY OF INSS1186 5G PAIL,Firestop/ DC 315,Fire,6037.5,AED,Ajeesh J.,Order
3007,Q-1192-F12089,FIRESTOP,18 Oct 2022,IQ,Jpm A.T.,G403-RIVIERA PHASE 2-AZIZI # LPO JPM/MVL/0253/2022,SUPPLY OF INSS1186 5G PAIL,Firestop/ DC 315,Fire,2756.25,AED,Habib B.,Order
3008,Q-1192-F12088,FIRESTOP,18 Oct 2022,IQ,001 C.,"FATTAN,LA VIE,JUMEIRAH # LPO 023- REV 02","SUPPLY OF INSS1440, INSS1186",Firestop/ DC 315,Fire,6930,AED,Habib B.,Order
3009,Q-1192-F12087,FIRESTOP,18 Oct 2022,IQ,Alec E.&.,FIRESTOPPING PROJECT,PRICE LIST,Firestop/ DC 315,Fire,8037.13,AED,Habib B.,Quotation
3010,RFQ-1569-R1503,MACRO,18 Oct 2022,RFQ,New S.O.,MVL Group Office Related POs,RENT TO OWN (Model &ndash; SHARP MX-3051 &ndash; 30PPM &ndash; High Quality ) 1 YEAR WITH SERVICE,Rental,Rental,17766,AED, ,Order
3011,RFQ-1569-V4266,MACRO,18 Oct 2022,RFQ,Al K.C.,MVL Group Office Related PO,"DESKTOP, LAPTOP, AND MONITORS FOR HO OFFICE",Building Materials,Various,10825.5,AED, ,Order
3012,Q-1192-F12086,FIRESTOP,17 Oct 2022,IQ,Venture I.T.,FIRESTOPPING PROJECT,SUPPLY OF DC68,Firestop/ DC 315,Fire,2100,AED,Habib B.,Quotation
3013,Q-4814-V4360,MACRO,17 Oct 2022,IQ,Ancd -.A.,MASS &amp; Co. SOV 6 Plus Admin Fee,MASS &amp; Co. SOV 6 Plus Admin Fee,Misc.,Various,11482.56,USD, ,Order
3014,Q-1192-V4446,FIRESTOP,17 Oct 2022,IQ,International C.T.,Materials Testing Done By UL GMBH,MVL Firestop,Misc.,Various,23000,USD, ,Order
3015,Q-1192-F12085,FIRESTOP,17 Oct 2022,IQ,Al B.C.,G+2P+9+R Residential Building Plot 645-5963 Majan Wadi Al Safa 3# LP02022P00100939,Supply Of Fire Stop Materials,Firestop/ DC 315,Fire,1275.75,AED,Ajeesh J.,Order
3016,Q-1192-F12084,FIRESTOP,16 Oct 2022,IQ,Safety W.,AL WASL # AIROLINK,SUPPLY OF INSS1186,Firestop/ DC 315,Fire,1155,AED,Habib B.,Order
3017,Q-1192-F12055A,FIRESTOP,16 Oct 2022,IQ,Classic F.C.,FIRESTOPPING PROJECT,SUPPLY OF INSS2460 DARK GREY,Firestop/ DC 315,Fire,945,AED,Habib B.,Order
3018,Q-1192-F12083,FIRESTOP,16 Oct 2022,IQ,Firestop I.T.,FIFA CARPET PROJECT,SUPPLY OF DC68,Firestop/ DC 315,Fire,29250,AED,Islam S.,Quotation
3019,Q-1192-F12082,FIRESTOP,14 Oct 2022,IQ,Al E.C.,"AL NAEEM 5, COMMERCIAL &amp; RESIDENTIAL BUILDING (G+3M+30TYP+R), PLOT NO: 314030014, RAK DAFFAN, RAS AL KHAIMAH, UAE",SUPPLY OF INSS0285 &amp; D64,Firestop/ DC 315,Fire,82162.5,AED,Ajeesh J.,Quotation
3020,Q-1192-F12081,FIRESTOP,14 Oct 2022,IQ,Al E.C.,"AL NAEEM 5, COMMERCIAL &amp; RESIDENTIAL BUILDING (G+3M+30TYP+R), PLOT NO: 314030014, RAK DAFFAN, RAS AL KHAIMAH, UAE",Supply Of Fire Stop Materials - CIVIL,Firestop/ DC 315,Fire,72418.5,AED,Ajeesh J.,Quotation
3021,Q-1192-F12080,FIRESTOP,14 Oct 2022,IQ,Al E.C.,"AL NAEEM 5, COMMERCIAL &amp; RESIDENTIAL BUILDING (G+3M+30TYP+R), PLOT NO: 314030014, RAK DAFFAN, RAS AL KHAIMAH, UAE",Supply Of Fire Stop Materials MEP,Firestop/ DC 315,Fire,155268.75,AED,Dinesh M.,Quotation
3022,Q-1192-F12079,FIRESTOP,14 Oct 2022,IQ,Al E.C.,"AL NAEEM 5, COMMERCIAL &amp; RESIDENTIAL BUILDING (G+3M+30TYP+R), PLOT NO: 314030014, RAK DAFFAN, RAS AL KHAIMAH, UAE",Supply Of Fire Stop Materials MEP,Firestop/ DC 315,Fire,126761.25,AED,Dinesh M.,Quotation
3023,RFQ-5410-V40000,MACRO,14 Oct 2022,RFQ,Gibraltar P.S.,(KUW-135) GE5019R0095 REPLACEMENT OF EXISTING ANTI-RAM HYDRAULIC VEHICLE BARRIER AT US EMBASSY KUWAIT,VEHICLE BARRIER,Building Materials,Various,306785,USD, ,Quotation
3024,Q-1192-F12078,FIRESTOP,14 Oct 2022,IQ,Miroj J.T.,EMBORN FACTORY FI,SUPPLY OF INSS1440 310ML,Firestop/ DC 315,Fire,57.75,AED,Ramshad K.,Order
3025,Q-1192-F12077,FIRESTOP,14 Oct 2022,IQ,Grand S.B.,FIRESTOPPING PROJECT,SUPPLY OF INSS1186 - 600 ML SAUSAGE,Firestop/ DC 315,Fire,20.48,AED,Habib B.,Quotation
3026,Q-1192-F12076,FIRESTOP,13 Oct 2022,IQ,New S.E.,86- G+4F+RF+RES BUILD # LPO 29388,SUPPLY OF INSS1440 5G PAIL,Firestop/ DC 315,Fire,840,AED,Ajith S.,Order
3027,Q-1192-F12075,FIRESTOP,13 Oct 2022,IQ,City N.C.,INDUSTRIAL FACILITY FOR SHRINATH FLEXIPACK @ KIZAD,"SUPPLY OF INSS1440, D64",Firestop/ DC 315,Fire,2835,AED,Dinesh M.,Quotation
3028,Q-1005-E7049,MV LLC,12 Oct 2022,IQ,Arabian C.C.,Supply &amp; Delivery Of Uninterruptible Power Supply(UPS)-Khamis,Supply &amp; Delivery Of Uninterruptible Power Supply(UPS)-Khamis,Electrical,Electrical,33352,USD, ,Quotation
