"Quotation Report - Date : January-28, 2026 11:00 AM",,,,,,,,,,,,,
No,Number,Company,Date,Type,Client,Project Name,Description,Material,Material Code,Quo. Value,Cur.,MVL Contact,Status
12001,Q-313-242,MICRON,05 Mar 2013,IQ,Ecc-i ,Surface Sealing Coat - Mazar E Sharif,Concrete Surface Hardener,,,11438,USD,Maricar I.,Quotation
12002,Q-313-241,MICRON,03 Mar 2013,IQ,Tetra T.E.,Tetratech Afghan Projects,Bayer Polyurethane Foam,,,86141,USD, ,Order
12003,Q-213-240,MICRON,20 Feb 2013,IQ,Obaidullah I.I.,Obaidullah Ibrahimi International Group Of Companies,Machine Equipment,,,601953,USD,Maricar I.,Cancled
12004,Q-213-239,MICRON,18 Feb 2013,IQ, ,Djibouti,Fire Proof Paint DC315,,,11550,USD, ,Quotation
12005,Q-213-237,MICRON,16 Feb 2013,IQ, ,Lakeshore Toltest - Equipments / Spares - Delaram - PO 8146,Equipments / Spares - Delaram,,,6329.7,USD, ,Order
12006,Q-213-235,MICRON,13 Feb 2013,IQ,Ecc-i ,ECC-I,Building Material,,,71923.91,USD, ,Order
12007,Q-213-234,MICRON,12 Feb 2013,IQ,Baku E.S.,BAKU ENGINEERING SUPPLIES LTD,Building Material,,,914,USD, ,Order
12008,Q-213-231,MICRON,07 Feb 2013,IQ,Ecc-i ,Camp Hero East - W5J9LE-11-C-0046. PO 346021 - Supply Of 3500 Gallons DC 315,DC 315 Thermal / Fire Barrier,,,220500,USD, ,Order
12009,Q-213-230,MICRON,07 Feb 2013,IQ,Innovative B.S.,Herat Project,Sandwich Panel,,,0,USD, ,Quotation
12010,Q-213-227,MICRON,04 Feb 2013,IQ,Murshid B.L.,"ANA Camp Garmsir, Lashkargah-MBL/MVL/002-Supply Of Steel Coil",Steel Coil,,,33300,USD, ,Quotation
12011,Q-213-226,MICRON,04 Feb 2013,IQ,Ecc-i ,Camp Hero East,Transportation From Izmir To CHE,,,58500,USD, ,Quotation
12012,Q-213-225,MICRON,04 Feb 2013,IQ,Venco I.C.,"Supply Of DC 315 Thermal Barrier - FOB Kabul, Afghanistan",DC 315 Thermal / Fire Barrier,,,45760,USD, ,Quotation
12013,Q-213-224,MICRON,04 Feb 2013,IQ,Golden R.R.,Ex-Herat - Supply Of 2000 Gal. DC315 - PO 23705,DC 315 - Thermal / Fire Barrier,,,136000,USD, ,Order
12014,Q-113-220,MICRON,31 Jan 2013,IQ,Ecc-i ,Ecci,Polyurethane,,,0,USD, ,Order
12015,Q-113-218,MICRON,30 Jan 2013,IQ,Redland C.C.,Kabul,Steel Doors,,,164246.41,USD, ,Quotation
12016,Q-113-216,MICRON,29 Jan 2013,IQ,Metag I.T.,Tarinkowt - Supply Of Polyurethane - ANK13.AT02.0144,BASF Polyurethane Foam,,,84224,USD, ,Order
12017,Q-113-215,MICRON,29 Jan 2013,IQ, ,Khas Kunar - Supply Of Polyurethane And DC 315 Fire Barrier,"Polyurethane, Fire Barrier, Steel Coil",,,3514405.75,USD, ,Quotation
12018,Q-113-213,MICRON,29 Jan 2013,IQ,Metag I.T.,Tarinkowt,E30 Electric Motor,,,3030,USD, ,Quotation
12019,Q-113-210,MICRON,27 Jan 2013,IQ,Ecc-i ,Camp Hero East - W5J9LE-11-C-0046.8303.000 [Supply Of DC315],DC315 Thermal Barrier,,,152460,USD, ,Order
12020,Q-113-209,MICRON,26 Jan 2013,IQ,Metag I.T.,Tarinkowt/Afghanistan - Supply Of Var. Materials - ANK13.AT02.0142,Fusion API Gun & Accessories,,,11920.66,USD, ,Order
12021,Q-113-206,MICRON,20 Jan 2013,IQ,Venco I.C.,Kabul - Supply Of Polyurethane Foam - PO21259,Polyurethane/Bayer,,,60800,USD, ,Order
12022,Q-113-205,MICRON,17 Jan 2013,IQ,Omran H.G.,FSD Camp Shorab Project-OHG-C-P079/C129-083,DC315 Thermal Barrier,,,92496.75,USD, ,Order
12023,Q-113-203,MICRON,17 Jan 2013,IQ,Bruindam ,Torino Projects,Rockwool Sandwich Panel,,,209000,EURO, ,Quotation
12024,Q-113-202,MICRON,15 Jan 2013,IQ,Metag I.T.,Camp Shaheen,DC315 Thermal Barrier,,,7375,USD, ,Order
12025,Q-113-201,MICRON,15 Jan 2013,IQ,Ghantoot G.C.,UAE - Ministry Of Public Works,Sandwich Panel,,,2904262.25,AED, ,Order
12026,Q-113-200,MICRON,14 Jan 2013,IQ,Supply S.N.,Kabul Projects,Supply Of Glass Wool Pipe Insulation,,,164475,AED, ,Quotation
12027,Q-113-198,MICRON,13 Jan 2013,IQ, ,Transportation Of Generators And Transformers - W5J9LE-11-C-0034 - P008093,Transportation-DG Sets Commercial,,,408000,USD, ,Order
12028,Q-113-197,MICRON,13 Jan 2013,IQ,Quliyev A.,Baku - Transportation Of IT Equipments,Transportation Of IT Equipments,,,3983.52,USD, ,Order
12029,Q-113-196,MICRON,12 Jan 2013,IQ,Ecc-i ,Camp Hero East - W5J9LE-11-C-0046.8303.000 - PO 346021,DC315 Thermal Barrier,,,189000,USD, ,Order
12030,Q-113-195,MICRON,09 Jan 2013,IQ,Murshid B.L.,"ANA Camp Garmsir, Lashkargah-MBL/MVL/001-Supply Of Water Heaters",Water Heaters,,,107153.99,USD, ,Order
12031,Q-113-194,MICRON,09 Jan 2013,IQ,Rasooli C.C.,Supply Of DC 315 Thermal / Fire Barrier,DC 315 Thermal / Fire Barrier,,,47250,USD, ,Quotation
12032,Q-113-193,MICRON,08 Jan 2013,IQ,Lakeshore T.,Camp Delaram - Supplied Materials,Supply Of Various Materials,,,6283.8,USD, ,Order
12033,Q-113-191,MICRON,07 Jan 2013,IQ,Innovative B.S.,IBS,Steel Coil,,,50900,AED, ,Quotation
12034,Q-113-189,MICRON,06 Jan 2013,IQ,Ecc-i ,Camp Hero,Transportation-Herat To Camp Hero,,,0,USD, ,Quotation
12035,Q-113-188,MICRON,06 Jan 2013,IQ,Superjet G.,Afghan Projects,DC315 Thermal Barrier,,,606300,USD, ,Quotation
12036,Q-113-186,MICRON,05 Jan 2013,IQ,Obaidullah I.I.,Afghanistan Project,DC315 Thermal Barrier,,,272000,USD, ,Order
12037,Q-113-185,MICRON,03 Jan 2013,IQ,Innovative B.S.,Export,Steel Coil,,,440000,AED, ,Quotation
12038,Q-113-183,MICRON,02 Jan 2013,IQ,Ecc-i ,Camp Hero - Supply Of Polyurethane Foam- W5J9LE-11-C-0046.8303.000 - PO 346021,Polyurethane To Camp Hero,,,589380,USD, ,Order
12039,Q-113-182,MICRON,02 Jan 2013,IQ,Specialists C.J.,Afghan Projects,Steel Doors,,,0,USD, ,Quotation
12040,Q-1212-177,MICRON,31 Dec 2012,IQ,Venco I.C.,"Supply Of Polyurethane Foam - Kabul, Afghanistan",Supply Of Polyurethane Foam,,,76000,USD, ,Order
12041,Q-1212-176,MICRON,30 Dec 2012,IQ,Ecc-i ,Camp Shaheen - W912DQ-11-C-4015.5449.000,DC315 Thermal Barrier,,,110250,USD, ,Order
12042,Q-1212-175,MICRON,30 Dec 2012,IQ,Ecc-i ,W5J9LE-11-C-0046-8303.000 - Camp Hero,SPD 1015 Type 50 RW Sandwich Panel - Camp Hero,,,411825.91,USD, ,Order
12043,Q-1212-173,MICRON,27 Dec 2012,IQ,Ecc-i ,W5J9LE-11-C-0046-8303.000 - PO347372 - 5 CONTAINERS,Transportation Of Electrical Items From USA,,,154000,USD, ,Order
12044,Q-1212-172,MICRON,26 Dec 2012,IQ,Ecc-i ,Camp Garmsir - W5J9LE-11-C-0043.4610.000,DC315 Thermal Barrier,,,47250,USD, ,Order
12045,Q-1212-171,MICRON,23 Dec 2012,IQ,Innovative B.S.,TBA,Steel Coil,,,50700,AED, ,Cancled
12046,Q-1212-170,MICRON,23 Dec 2012,IQ,Golden R.R.,DC 315 - Thermal / Fire Barrier - 9191 WO Ref. No. 14533,DC 315 Thermal Fire Barrier,,,7000,USD, ,Order
12047,Q-1212-168,MICRON,22 Dec 2012,IQ,Innovative B.S.,Abu Dhabi Military Project,DC315 & STEEL COIL,,,0,AED, ,Cancled
12048,Q-1212-167,MICRON,21 Dec 2012,IQ,Ecc-i ,Camp Hero - W5J9LE-11-C-0043.4610.000. PO 346047,Transportation From CHE To Garmsir & Return,,,1876,USD, ,Order
