"Quotation Report - Date : January-28, 2026 11:00 AM",,,,,,,,,,,,,
No,Number,Company,Date,Type,Client,Project Name,Description,Material,Material Code,Quo. Value,Cur.,MVL Contact,Status
9027,RFQ-1592-S9085,MACRO,04 Sep 2017,RFQ,Yashel Y.C.,"W5J9JE-16-R-0049 - Afghan National Police, Police Academy Female Staff College",ORD-Y108-07 KB006 – Reinforce Basement CMU Walls,Subcontract,Services,44115.99,USD, ,Order
9028,Q-1192-F7993,FIRESTOP,04 Sep 2017,IQ,Silver C.M.,FIRESTOPPING PROJECT LPO SCMW/LP/17/00381,Supply Of INSS2460-600ml Sausage,Firestop/ DC 315,Fire,10370,AED,Samar T.,Order
9029,Q-1192-F7992,FIRESTOP,29 Aug 2017,IQ,Al R.E.,Al Zahia Garden Apartment @ Sharjah,Supply Of INSS1440,Firestop/ DC 315,Fire,418,AED,Waleed B.M.,Order
9030,Q-1192-F7991A,FIRESTOP,29 Aug 2017,IQ,Ghantoot B.G.,"Private Residence At SP4-58-VI Hidd AL Sadiyat, Abu Dhabi",Supply Of INSS1440 And D120T50,Firestop/ DC 315,Fire,52.2,AED,Waleed B.M.,Quotation
9031,Q-1192-F7991,FIRESTOP,29 Aug 2017,IQ,Ghantoot B.G.,"Private Residence At SP4-58-VI Hidd AL Sadiyat, Abu Dhabi",Supply Of INSS1440 And D120T50,Firestop/ DC 315,Fire,573.7,AED,Waleed B.M.,Quotation
9032,Q-1192-F7990,FIRESTOP,29 Aug 2017,IQ,Ost C.P.,G + 2P + 12 TYP + R @ Al Nahda Dubai,SUPPLY OF CIVIL  FIRESTOP MATERIALS,Firestop/ DC 315,Fire,16400,AED,Waleed B.M.,Quotation
9033,Q-1192-F7989,FIRESTOP,29 Aug 2017,IQ,Abna A.A.,FIRESTOPPING PROJECT,SUPPLY OF MVL FIRESTOP MATERIALS,Firestop/ DC 315,Fire,224.7,AED,Samar T.,Quotation
9034,RFQ-1581-M4102,MW-OCS,28 Aug 2017,RFQ,Delma I.S.,TS-5000 EVO Fuel Management Systems,TS-5000 EVO Fuel Management Systems,Mechanical Items,Mechanical,14500,AED, ,Order
9035,Q-1192-F7988,FIRESTOP,28 Aug 2017,IQ,Imprex L.,FIRESTOPPING PROJECT,SUPPLY OF DC68 SPRAY TO PROTECT,Firestop/ DC 315,Fire,300,AED,Karim E.,Order
9036,Q-1192-C6083,FIRESTOP,28 Aug 2017,IQ,Haytham A.H.,Qatar Project,Supply Of Lapolla 2500/3,Polyurethane Foam,Chemicals,540000,AED,Karim E.,Quotation
