poNumber,poDate,poName,supplier,originalValue,currency,mainOrderId,orderId,entityCode,entity,material,materialCode,poVersion,isChangeOrder,year,month,yearMonth,valueUSD,poSpendUSD,poType,changeOrderGroup,changeOrderTotal,project
RFPO-5532-V40012-1,14 Jul 2023,"PO for Spill Berm Black 14 Feet x 54 Feet  x 1 Feet  (4.3x16.5x0.3) Mtrs Collapsible WALL,750g PVC L Bracket Type Tarpaulin Colour - Black",Al Dolphin TR L.L.C,10447.5,AED,5532,6456,V40012,MACRO,Various,Various,1,False,2023,7,2023-07,2844.79,2844.79,Base PO,1,1,"PO for Spill Berm Black 14 Feet x 54 Feet  x 1 Feet  (4.3x16.5x0.3) Mtrs Collapsible WALL,750g PVC L Bracket Type Tarpaulin Colour - Black"
RFPO-1005-E7061-1,14 Jul 2023,PO for 93-AS 620-3ME,ORYX TECHNOLOGIES,11730.0,SAR,1005,6457,E7061,MICRON,Electrical,Electrical,1,False,2023,7,2023-07,3128.0,3128.0,Base PO,1,1,PO for 93-AS 620-3ME
RFPO-1005-S9071-1,13 Jul 2023,PO for (40 SETS) INJECTABLE MORTAR HIT-RE 500 V4/500. (15 PIECES) ANCHOR ROD HAS-U 5.8 M20X240 ZINC PLATED.,K.A. Khonaini & Partner Cont. Co. LTD,11812.0,SAR,1005,6454,S9071,MACRO,Services,Services,1,False,2023,7,2023-07,3149.87,3149.87,Base PO,1,1,PO for (40 SETS) INJECTABLE MORTAR HIT-RE 500 V4/500. (15 PIECES) ANCHOR ROD HAS-U 5.8 M20X240 ZINC PLATED.
RFPO-1005-C6055-1,12 Jul 2023,PO for VETOTOUCH MONOCOUCH#[52] (50KG),Saudi Vetonit Co. Ltd. (SAVETO),53635.0,SAR,1005,6450,C6055,MICRON,Chemicals,Chemicals,1,False,2023,7,2023-07,14302.67,14302.67,Base PO,1,1,PO for VETOTOUCH MONOCOUCH#[52] (50KG)
RFPO-5532-M4003-1,12 Jul 2023,PO for HELI 8.5ton diesel  forklift CPCD85,Evangel International Machinery Ltd.,32100.0,USD,5532,6451,M4003,MVL Nepal,Mechanical,Mechanical,1,False,2023,7,2023-07,32100.0,32100.0,Base PO,1,1,PO for HELI 8.5ton diesel  forklift CPCD85
RFPO-5532-V40011A-1,12 Jul 2023,PO for Additional Plumbing Materials,OBAID MASOOD BUILDING MATERIALS TRADING (L.L.C),5493.08,AED,5532,6453,V40011A,MVL USA JV LLC,Various,Various,1,False,2023,7,2023-07,1495.73,1495.73,Base PO,1,1,PO for Additional Plumbing Materials
RFPO-5532-V4360-1,11 Jul 2023,PO for Customized Black Short Sleeve Polo Shirt Drifit with 1 position logo embroidery on front left chest (MVL Broomgrove) logo,The Uniform World Tailoring and Textiles LLC,1638.0,AED,5532,6444,V4360,FIRESTOP,Various,Various,1,False,2023,7,2023-07,446.02,446.02,Base PO,1,1,PO for Customized Black Short Sleeve Polo Shirt Drifit with 1 position logo embroidery on front left chest (MVL Broomgrove) logo
RFPO-1192-S9076-1,11 Jul 2023,PO for MVL Firestop Car Rental - Aiswarya Ann Thomas - Nissan Sunny 2018/2019 Model,SEL Car Rental LLC,1400.0,AED,1192,6445,S9076,FIRESTOP,Services,Services,1,False,2023,7,2023-07,381.21,381.21,Base PO,1,1,PO for MVL Firestop Car Rental - Aiswarya Ann Thomas - Nissan Sunny 2018/2019 Model
RFPO-1192-V4331-1,11 Jul 2023,PO for SLAB WITHOUT FACING (SXXX)-,FUJAIRAH ROCKWOOL FACTORY,12546.0,AED,1192,6446,V4331,FIRESTOP,Various,Various,1,False,2023,7,2023-07,3416.2,3416.2,Base PO,1,1,PO for SLAB WITHOUT FACING (SXXX)-
RFPO-1005-M7069-1,11 Jul 2023,"PO for VIR Brass Drain Valve, With Hose Union, PTFE Seats, PN25 Model 322 Size DN20, Code: F242X0020.2877",EMAAR POLE COMPANY,138.68,SAR,1005,6447,M7069,MICRON,Mechanical,Mechanical,1,False,2023,7,2023-07,36.98,36.98,Base PO,1,1,"PO for VIR Brass Drain Valve, With Hose Union, PTFE Seats, PN25 Model 322 Size DN20, Code: F242X0020.2877"
