quotationNumber,quotationDate,poDate,daysToConvert,month,orderId
RFQ-497-1216,2014-10-26,2015-11-12,382,2014-10,1216
RFQ-497-1215,2014-10-23,2015-11-12,385,2014-10,1215
RFQ-573-1213,2014-10-23,2015-11-10,383,2014-10,1213
RFQ-573-1211,2014-10-23,2015-11-08,381,2014-10,1211
RFQ-497-1210,2014-10-22,2015-11-05,379,2014-10,1210
RFQ-497-1204,2014-10-20,2015-11-03,379,2014-10,1204
RFQ-497-1203,2014-10-20,2015-11-03,379,2014-10,1203
RFQ-497-1201,2014-10-19,2015-11-01,378,2014-10,1201
RFQ-158-1199,2014-10-19,2015-10-29,375,2014-10,1199
RFQ-497-1198,2014-10-19,2015-11-05,382,2014-10,1198
RFQ-497-1196,2014-10-16,2015-10-28,377,2014-10,1196
RFQ-158-1193,2014-10-16,2015-10-27,376,2014-10,1193
RFQ-158-1190,2014-10-15,2015-10-26,376,2014-10,1190
RFQ-497-1189,2014-10-14,2015-10-25,376,2014-10,1189
RFQ-497-1184,2014-10-13,2015-10-22,374,2014-10,1184
RFQ-497-1182,2014-10-12,2015-10-22,375,2014-10,1182
RFQ-497-1179,2014-10-09,2015-10-19,375,2014-10,1179
RFQ-637-1178,2014-10-08,2015-10-19,376,2014-10,1178
RFQ-497-1176,2014-10-08,2015-10-12,369,2014-10,1176
RFQ-497-1174,2014-10-07,2015-10-11,369,2014-10,1174
RFQ-497-1173,2014-10-07,2015-10-08,366,2014-10,1173
RFQ-573-1167,2014-09-30,2015-11-10,406,2014-09,1167
RFQ-497-1166,2014-09-30,2015-10-01,366,2014-09,1166
RFQ-573-1163,2014-09-29,2015-09-28,364,2014-09,1163
RFQ-637-1161,2014-09-29,2015-10-18,384,2014-09,1161
RFQ-497-1158,2014-09-29,2015-09-14,350,2014-09,1158
RFQ-497-1156,2014-09-28,2015-09-13,350,2014-09,1156
RFQ-497-1155,2014-09-28,2015-09-13,350,2014-09,1155
RFQ-637-1154,2014-09-28,2015-09-10,347,2014-09,1154
RFQ-497-1151,2014-09-24,2015-09-08,349,2014-09,1151
RFQ-497-1143,2014-09-22,2015-08-11,323,2014-09,1143
RFQ-497-1142,2014-09-22,2015-08-10,322,2014-09,1142
RFQ-497-1140,2014-09-21,2015-08-09,322,2014-09,1140
RFQ-497-1139,2014-09-18,2015-08-06,322,2014-09,1139
RFQ-497-1138,2014-09-18,2015-08-05,321,2014-09,1138
RFQ-497-1135,2014-09-15,2015-08-03,322,2014-09,1135
RFQ-497-1132,2014-09-14,2015-07-29,318,2014-09,1132
RFQ-497-1128,2014-09-14,2015-07-29,318,2014-09,1128
RFQ-497-1121,2014-09-09,2015-07-13,307,2014-09,1121
RFQ-497-1115,2014-09-08,2015-07-08,303,2014-09,1115
RFQ-497-1113,2014-09-08,2015-07-08,303,2014-09,1113
RFQ-497-1111,2014-09-08,2015-07-07,302,2014-09,1111
RFQ-497-1106,2014-09-03,2015-06-29,299,2014-09,1106
RFQ-573-1105,2014-09-03,2015-06-28,298,2014-09,1105
RFQ-566-1097,2014-08-31,2015-06-22,295,2014-08,1097
RFQ-497-1096,2014-08-31,2015-06-18,291,2014-08,1096
RFQ-497-1095,2014-08-28,2015-06-18,294,2014-08,1095
RFQ-497-1092,2014-08-28,2015-06-15,291,2014-08,1092
RFQ-573-1091,2014-08-28,2015-06-14,290,2014-08,1091
RFQ-158-1090,2014-08-28,2015-06-11,287,2014-08,1090
RFQ-158-1089,2014-08-28,2015-06-11,287,2014-08,1089
RFQ-497-1086,2014-08-27,2015-06-09,286,2014-08,1086
RFQ-497-1085,2014-08-27,2015-06-10,287,2014-08,1085
RFQ-158-1084,2014-08-27,2015-06-09,286,2014-08,1084
RFQ-497-1076,2014-08-21,2015-06-04,287,2014-08,1076
RFQ-497-1072,2014-08-20,2015-06-03,287,2014-08,1072
RFQ-497-1069,2014-08-18,2015-05-28,283,2014-08,1069
RFQ-158-1067,2014-08-17,2015-05-26,282,2014-08,1067
RFQ-497-1063,2014-08-17,2015-05-25,281,2014-08,1063
RFQ-497-1056,2014-08-14,2015-05-21,280,2014-08,1056
RFQ-566-1049,2014-08-11,2015-05-17,279,2014-08,1049
RFQ-158-1047,2014-08-07,2015-05-17,283,2014-08,1047
RFQ-497-1045,2014-08-06,2015-05-20,287,2014-08,1045
RFQ-497-1042,2014-08-04,2015-05-13,282,2014-08,1042
RFQ-158-1041,2014-08-04,2015-05-13,282,2014-08,1041
RFQ-497-1039,2014-08-03,2015-05-13,283,2014-08,1039
RFQ-497-1038,2014-08-03,2015-05-13,283,2014-08,1038
RFQ-497-1035,2014-07-30,2015-05-05,279,2014-07,1035
RFQ-497-1030,2014-07-30,2015-04-28,272,2014-07,1030
RFQ-497-1027,2014-07-30,2015-04-26,270,2014-07,1027
RFQ-497-1015,2014-07-23,2015-04-20,271,2014-07,1015
RFQ-497-1012,2014-07-22,2015-04-16,268,2014-07,1012
RFQ-158-1011,2014-07-22,2015-04-15,267,2014-07,1011
RFQ-158-1009,2014-07-21,2015-04-13,266,2014-07,1009
RFQ-497-1007,2014-07-21,2015-04-12,265,2014-07,1007
RFQ-158-989,2014-07-01,2015-03-30,272,2014-07,989
RFQ-497-988,2014-06-30,2015-03-30,273,2014-06,988
RFQ-158-971,2014-05-26,2015-03-17,295,2014-05,971
RFQ-497-966,2014-05-20,2015-03-10,294,2014-05,966
RFQ-256-965,2014-05-19,2015-03-10,295,2014-05,965
RFQ-497-963,2014-05-18,2015-03-09,295,2014-05,963
RFQ-256-953,2014-05-06,2015-03-04,302,2014-05,953
RFQ-256-950,2014-05-04,2015-03-02,302,2014-05,950
RFQ-256-949,2014-05-04,2015-03-02,302,2014-05,949
RFQ-158-943,2014-04-29,2015-03-01,306,2014-04,943
RFQ-158-940,2014-04-28,2015-02-26,304,2014-04,940
RFQ-256-938,2014-04-27,2015-02-25,304,2014-04,938
RFQ-256-937,2014-04-24,2015-02-25,307,2014-04,937
RFQ-158-935,2014-04-24,2015-02-24,306,2014-04,935
RFQ-158-933,2014-04-23,2015-02-23,306,2014-04,933
RFQ-256-932,2014-04-22,2015-02-23,307,2014-04,932
RFQ-497-931,2014-04-22,2015-02-22,306,2014-04,931
RFQ-497-930,2014-04-21,2015-02-22,307,2014-04,930
RFQ-497-929,2014-04-21,2015-02-22,307,2014-04,929
RFQ-497-923,2014-04-17,2015-02-22,311,2014-04,923
RFQ-158-921,2014-04-17,2015-02-19,308,2014-04,921
RFQ-158-920,2014-04-17,2015-02-19,308,2014-04,920
RFQ-497-919,2014-04-16,2015-02-18,308,2014-04,919
RFQ-158-918,2014-04-15,2015-02-17,308,2014-04,918
RFQ-497-917,2014-04-15,2015-02-16,307,2014-04,917
RFQ-158-911,2014-04-14,2015-02-09,301,2014-04,911
RFQ-158-907,2014-04-13,2015-02-01,294,2014-04,907
RFQ-158-902,2014-04-10,2015-01-26,291,2014-04,902
RFQ-158-900,2014-04-09,2015-01-25,291,2014-04,900
RFQ-256-897,2014-04-09,2015-01-21,287,2014-04,897
RFQ-158-895,2014-04-08,2015-01-20,287,2014-04,895
RFQ-158-894,2014-04-07,2015-01-20,288,2014-04,894
RFQ-158-893,2014-04-07,2015-01-19,287,2014-04,893
RFQ-158-892,2014-04-07,2015-01-18,286,2014-04,892
RFQ-158-891,2014-04-07,2015-01-18,286,2014-04,891
RFQ-158-889,2014-04-03,2015-01-14,286,2014-04,889
RFQ-497-886,2014-04-03,2015-01-13,285,2014-04,886
RFQ-256-881,2014-04-01,2015-01-08,282,2014-04,881
RFQ-256-879,2014-03-31,2015-01-07,282,2014-03,879
RFQ-256-878,2014-03-31,2015-01-07,282,2014-03,878
RFQ-158-876,2014-03-30,2015-01-06,282,2014-03,876
RFQ-158-873,2014-03-27,2015-01-05,284,2014-03,873
RFQ-256-871,2014-03-25,2015-01-04,285,2014-03,871
RFQ-158-869,2014-03-24,2014-12-30,281,2014-03,869
RFQ-158-868,2014-03-24,2014-12-30,281,2014-03,868
RFQ-256-867,2014-03-23,2014-12-29,281,2014-03,867
RFQ-158-860,2014-03-16,2014-12-22,281,2014-03,860
RFQ-158-859,2014-03-16,2014-12-21,280,2014-03,859
RFQ-158-855,2014-03-16,2014-12-17,276,2014-03,855
RFQ-158-853,2014-03-16,2014-12-16,275,2014-03,853
RFQ-256-852,2014-03-16,2014-12-16,275,2014-03,852
RFQ-158-850,2014-03-13,2014-12-15,277,2014-03,850
RFQ-158-849,2014-03-13,2014-12-15,277,2014-03,849
RFQ-158-848,2014-03-13,2014-12-15,277,2014-03,848
RFQ-256-837,2014-03-04,2014-12-11,282,2014-03,837
RFQ-158-833,2014-03-04,2014-12-09,280,2014-03,833
RFQ-158-830,2014-03-04,2014-12-09,280,2014-03,830
RFQ-256-828,2014-03-04,2014-12-08,279,2014-03,828
RFQ-256-825,2014-03-03,2014-12-07,279,2014-03,825
RFQ-158-822,2014-03-03,2014-12-07,279,2014-03,822
RFQ-256-820,2014-03-02,2014-12-04,277,2014-03,820
RFQ-256-810,2014-02-25,2014-12-01,279,2014-02,810
RFQ-256-802,2014-02-23,2014-11-25,275,2014-02,802
RFQ-158-795,2014-02-18,2014-11-20,275,2014-02,795
RFQ-158-785,2014-02-13,2014-11-17,277,2014-02,785
RFQ-256-773,2014-02-12,2014-11-09,270,2014-02,773
RFQ-256-769,2014-02-11,2014-11-06,268,2014-02,769
RFQ-256-763,2014-02-06,2014-11-03,270,2014-02,763
RFQ-256-755,2014-02-02,2014-10-29,269,2014-02,755
RFQ-158-733,2014-01-23,2014-10-20,270,2014-01,733
RFQ-256-732,2014-01-23,2014-10-20,270,2014-01,732
RFQ-158-724,2014-01-21,2014-10-19,271,2014-01,724
RFQ-158-722,2014-01-20,2014-10-15,268,2014-01,722
RFQ-256-715,2014-01-15,2014-10-09,267,2014-01,715
RFQ-158-711,2014-01-14,2014-10-01,260,2014-01,711
RFQ-256-701,2014-01-07,2014-09-25,261,2014-01,701
RFQ-258-700,2014-01-07,2014-09-25,261,2014-01,700
RFQ-256-689,2014-01-05,2014-09-18,256,2014-01,689
RFQ-256-685,2014-01-02,2014-09-16,257,2014-01,685
RFQ-256-682,2013-12-31,2014-09-15,258,2013-12,682
RFQ-371-677,2013-12-29,2014-09-11,256,2013-12,677
RFQ-256-672,2013-12-24,2014-09-09,259,2013-12,672
RFQ-256-648,2013-11-27,2014-08-28,274,2013-11,648
RFQ-256-641,2013-11-20,2014-08-27,280,2013-11,641
RFQ-256-629,2013-11-12,2014-08-18,279,2013-11,629
RFQ-256-618,2013-11-10,2014-08-13,276,2013-11,618
RFQ-256-614,2013-11-08,2014-08-13,278,2013-11,614
RFQ-256-608,2013-11-05,2014-08-13,281,2013-11,608
RFQ-256-606,2013-11-04,2014-08-12,281,2013-11,606
RFQ-256-605,2013-11-04,2014-08-12,281,2013-11,605
RFQ-1013-594,2013-10-30,2014-12-02,398,2013-10,594
RFQ-1013-581,2013-10-24,2014-07-22,271,2013-10,581
RFQ-1013-580,2013-10-23,2014-07-21,271,2013-10,580
RFQ-1013-579,2013-10-23,2014-07-21,271,2013-10,579
RFQ-1013-573,2013-10-22,2015-03-23,517,2013-10,573
RFQ-1013-566,2013-10-17,2014-08-11,298,2013-10,566
RFQ-913-535,2013-09-30,2014-04-23,205,2013-09,535
RFQ-913-533,2013-09-30,2014-04-22,204,2013-09,533
RFQ-913-512,2013-09-19,2014-04-13,206,2013-09,512
RFQ-913-511,2013-09-19,2014-04-10,203,2013-09,511
RFQ-913-510,2013-09-18,2014-04-10,204,2013-09,510
RFQ-913-509,2013-09-18,2014-04-10,204,2013-09,509
RFQ-5153-V4351,2022-10-26,2022-10-26,0,2022-10,10936
RFQ-5410-V40001,2022-10-19,2022-10-19,0,2022-10,10918
RFQ-5503-V4351,2022-09-21,2022-09-21,0,2022-09,10831
RFQ-5327-S9073,2022-08-01,2022-08-02,1,2022-08,10662
RFQ-5342-M4101,2022-05-20,2022-05-20,0,2022-05,10426
RFQ-5270-O1,2022-03-02,2022-03-02,0,2022-03,10233
RFQ-5213-S9082,2021-11-09,2021-11-09,0,2021-11,9917
RFQ-4814-M4101,2021-11-08,2021-11-08,0,2021-11,9908
RFQ-2623-E6801,2020-08-27,2020-08-27,0,2020-08,8387
RFQ-3734-V4251,2020-08-12,2020-08-12,0,2020-08,8318
RFQ-3734-S9031,2020-08-12,2020-08-12,0,2020-08,8317
RFQ-3734-S9089,2020-07-28,2020-08-12,15,2020-07,8280
RFQ-3734-S9085,2020-05-06,2020-08-12,98,2020-05,8045
RFQ-3734-S9084,2020-04-16,2020-08-12,118,2020-04,7998
RFQ-3728-M4101,2020-03-10,2020-03-12,2,2020-03,7871
RFQ-3734-S9080A,2020-01-28,2020-08-12,197,2020-01,7633
RFQ-3734-S9080,2020-01-28,2020-08-12,197,2020-01,7632
RFQ-3734-S9079,2020-01-23,2020-08-12,202,2020-01,7607
RFQ-3734-S9078,2020-01-21,2020-08-12,204,2020-01,7594
RFQ-3734-S9077,2020-01-05,2020-08-12,220,2020-01,7493
RFQ-3742-S9078,2019-12-31,2020-01-08,8,2019-12,7485
RFQ-3742-S9077,2019-12-22,2020-01-08,17,2019-12,7439
RFQ-3734-S9076,2019-12-11,2020-08-12,245,2019-12,7387
RFQ-3742-S9074,2019-11-12,2020-01-08,57,2019-11,7269
RFQ-3742-S9072,2019-11-10,2020-01-08,59,2019-11,7252
RFQ-3728-S9072,2019-10-16,2020-03-12,148,2019-10,7141
RFQ-3550-R1500,2019-08-18,2019-08-19,1,2019-08,6866
RFQ-2797-V4351,2019-07-16,2019-07-16,0,2019-07,6762
RFQ-2797-S9075,2019-07-08,2019-07-16,8,2019-07,6727
RFQ-3473-S9071,2019-06-27,2019-06-27,0,2019-06,6691
RFQ-3427-S9071,2019-05-29,2019-07-22,54,2019-05,6592
RFQ-2952-V4251A,2019-03-24,2019-03-24,0,2019-03,6342
RFQ-2797-S9074,2019-03-13,2019-07-16,125,2019-03,6297
RFQ-2951-V4252,2019-03-10,2019-03-11,1,2019-03,6272
RFQ-2797-S9073,2019-02-13,2019-07-16,153,2019-02,6181
RFQ-2797-S9072,2019-02-04,2019-07-16,162,2019-02,6131
RFQ-2953-E6800,2019-01-07,2019-01-07,0,2019-01,6013
RFQ-2797-S9071,2018-11-29,2019-07-16,229,2018-11,5886
RFQ-2953-S9071,2018-11-14,2019-01-07,54,2018-11,5846
RFQ-2952-S9071,2018-11-14,2019-03-24,130,2018-11,5845
RFQ-2951-S9071,2018-11-14,2019-03-11,117,2018-11,5844
RFQ-2569-O2,2018-10-02,2018-10-02,0,2018-10,5665
RFQ-2569-O1,2018-10-02,2018-10-02,0,2018-10,5663
RFQ-2555-M4101,2018-06-28,2018-07-01,3,2018-06,5267
RFQ-2394-T1000,2018-06-20,2018-06-20,0,2018-06,5237
RFQ-2532-M4102,2018-05-09,2018-05-09,0,2018-05,5090
RFQ-2532-S9071A,2018-05-06,2018-05-09,3,2018-05,5075
