quotationNumber,quotationDate,poDate,daysToConvert,month,orderId
RFQ-6645-S9100,2024-02-07,2024-02-07,0,2024-02,12629
RFQ-6646-R1500,2024-02-01,2024-02-01,0,2024-02,12606
RFQ-6544-V40000,2024-01-15,2024-01-15,0,2024-01,12545
RFQ-6408-V40001,2023-10-12,2023-10-17,5,2023-10,12254
RFQ-6408-V40000,2023-10-12,2023-10-17,5,2023-10,12253
RFQ-6424-E6800,2023-09-25,2024-04-03,191,2023-09,12201
RFQ-6168-A5201,2023-08-11,2023-08-14,3,2023-08,12069
RFQ-6168-V40004,2023-08-10,2023-08-14,4,2023-08,12067
RFQ-6168-V40003,2023-08-10,2023-08-14,4,2023-08,12066
RFQ-6168-V40002,2023-08-10,2023-08-14,4,2023-08,12065
RFQ-6168-V40000A,2023-08-10,2023-08-14,4,2023-08,12063
RFQ-5695-V40000,2023-07-19,2023-07-19,0,2023-07,11984
RFQ-5581-T1000,2023-05-17,2023-05-17,0,2023-05,11822
RFQ-5581-V40001,2023-05-17,2023-05-17,0,2023-05,11821
RFQ-5684-S9031A,2023-04-17,2023-04-17,0,2023-04,11676
RFQ-5622-V40000,2023-03-01,2023-03-02,1,2023-03,11442
RFQ-5655-V40000,2023-02-27,2023-03-08,9,2023-02,11425
RFQ-5683-V40000,2023-02-27,2023-02-27,0,2023-02,11423
RFQ-5657-V40000,2023-02-27,2023-03-13,14,2023-02,11421
RFQ-5626-V40001,2023-02-27,2023-02-27,0,2023-02,11418
RFQ-5626-V40000,2023-02-21,2023-02-27,6,2023-02,11397
RFQ-5532-M4000,2023-02-01,2023-02-02,1,2023-02,11306
RFQ-5829-R1500,2023-01-16,2023-01-16,0,2023-01,11222
