No,Order Number,Order Date,Client Name,Supply of,Destination
147,ORD-5270,"Sep 02, 2020",Navfac A.,BAH-122 N3319120D0009 Bahrain Mini-Multiple Award Constructi...,Bahrain
148,ORD-5265,"Jul 14, 2021",Navfac E.,BAH-122F X005 N3319121F4297 Provide Pre-Engineered Buildings...,"JEBEL ALI, UAE"
149,ORD-5213,"May 28, 2021",Usace -.d.,KSA-127 W912ER21C0015  Al Kharj Warehouse,KSA
150,ORD-5211,"Jul 13, 2021",Navfac E.A.,BAH-122C X0003 N3319121F4286 Design/Build Design/Build Repla...,"JEBEL ALI, UAE"
151,ORD-5210,"Jul 13, 2021",Navfac E.,BAH-122D  X0004 N3319121F4285 Design/Build Design/Build Prov...,"JEBEL ALI, UAE"
152,ORD-5193,"Jun 17, 2021",Usace-cetam-ct ,"KSA-126 W912ER21C0014 Khamis Simulator Facility,  Kingdom of...",KSA
153,ORD-5153,"Jun 08, 2021",Navfac A.,"ITA-121 N6247021C0003 P-759, Family Housing New Construction...","Vicenza, Italy"
154,ORD-5149,"Jun 27, 2021",380 E.C.,UAE-135F FA570621F0016 Construct Medical Group Sunshade,"Al Dhafra, UAE"
155,ORD-5147,"Jun 27, 2021",380 E.C.,UAE-135I FA570621F0020 Repair Alpha Ramp Tensile Structures,"Al Dhafra, UAE"
156,ORD-4982,"Mar 11, 2021",380 E.C.,UAE-135A FA570621F0010 Repair MOTown Switchgear,"AL DHAFRA, UAE"
157,ORD-4814,"Dec 23, 2020",Usace ,QTR-193 W912ER21C0005 - USACE AEC TRANS REGIONAL LOGISTICS C...,"AL UDEID AIR BASE, DOHA, QATAR"
158,ORD-4566,"Sep 24, 2020",380 E.C.,UAE-135 - FA570620D0204 MACC AL DHAFRA,"Al Dhafra, UAE"
159,ORD-4266,"Apr 30, 2020",Usace -.d.,KUW-129 W912ER20D0002 Kuwait Job Order Contract (JOC),Kuwait
160,ORD-4044,"Oct 01, 2019",Usaid ,"NEP-121C 4 Health Facilities &amp; 3 Schools, Sindhuli","Sindhuli, Nepal"
161,ORD-4043,"Dec 01, 2019",Usace -.V.,AF-009 Police Academy Female Staff College,Kabul Afghanistan
162,ORD-4042,"Jan 29, 2020",Usace -.d.,KUW-132 W912ER19R0021 Care and Preservation Vehicle Maintena...,"Camp Arifjan, Kuwait"
163,ORD-3966,"Dec 31, 2019",Usace ,AFG-151 UAE Embassy-Kabul,Kabul
164,ORD-3907,"Dec 14, 2019",Unique W.-.,Project Bd Check list,Rajkot
165,ORD-3742,"Sep 30, 2019",Usace -.d.,(KUW-132) W912ER-19-C-0018 Care and Preservation Vehicle Mai...,"Camp Arifjan, Kuwait"
166,ORD-3734,"Oct 28, 2019",Usace -.d.,(QTR-173) W912ER-19-C-0016 Consolidated Squadron Operations ...,"Al Udeid Air Base, QATAR"
167,ORD-3728,"Oct 10, 2019",Regional C.C.,W912D2-19-F-0060 HVAC Project 1915C and 1915H,"Camp Al Sayliyah, Qatar"
168,ORD-3627,"Sep 05, 2019",Regional C.C.,W912D2-19-F-0042 Aggregate Materials ,"Area Support Group Qatar S1 John Herring, US Armed Forces"
169,ORD-3618,"Aug 12, 2019",Regional C.C.,W912D1-18-D-0005 - Office Container Refurbishments,"Camp Arifjan, Kuwait"
170,ORD-3550,"Jul 21, 2019",Usaid ,72036719F00003 - Nepal Community Reconstruction Program (NRC...,"Sindhuli, Nepal"
171,ORD-3473,"Jul 01, 2019",414th C.-.,W56PFY19F0009 ASDS II MHE ETHIOPIA,Ethiopia
172,ORD-3427,"Apr 24, 2019",Regional C.C.,"W912D1-19-F-9002, Task Order No. 0011, Khabari Crossing, Rep...","Camp Arifjan, Kuwait"
173,ORD-2953,"Oct 21, 2018",Regional C.C.,(QR-170) W912D2-18-F-1838 CAS Light Pole LED Retrofit,"Camp As Sayliyah, Doha, Qatar"
174,ORD-2952,"Oct 21, 2018",Regional C.C.,(QR-168) W912D2-18-F-1837- High Bay LED Retrofit,"Camp As Sayliyah, Doha, Qatar"
175,ORD-2951,"Oct 21, 2018",Regional C.C.,(QR-165) W912D2-18-F-1829- Bird Deterrent,"Camp As Sayliyah, Doha, Qatar"
176,ORD-2890,"Oct 21, 2018",Regional C.C.,(QR-167) W912D2-16-D-0002-W912D218-F-1836 (Improve Patriot S...,"Camp As Sayliyah, Doha, Qatar"
177,ORD-2797,"Aug 07, 2018",Usace -.d.,W5J9JE18C0008 - (ANP) 17-001-MOI Complex Female Police Town ...,"Kabul, Afghanistan"
178,ORD-2623,"May 13, 2018",Usace -.(.,"W5J9JE18C0007 - ANA-17-026, Kabul National Military Hospital...","Kabul, Afghanistan"
179,ORD-2569,"Apr 13, 2018",Usace-cetam-ct ,W912ER18C0020 - Perimeter Security Fence,"Camp Arifjan, Kuwait"
180,ORD-2555,"Apr 25, 2018",Regional C.C.,"(QR-158) W912D2-16-D-0002-W912D218F1771, WATER CHILLERS CAS","Camp As Sayliyah, Doha, Qatar"
181,ORD-2532,"Apr 15, 2018",Regional C.C.,(QR-159) W912D2-16-D-0002-1760  Back-up Generator for Bldg 2...,"Camp As Sayliyah, Doha, Qatar"
182,ORD-2394,"Jan 23, 2018",Usace -.d.,W5J9JE-18-C-0003 - FEMALE POLICE TOWN PHASE I,"Kabul, Afghanistan"
183,ORD-2152,"Sep 26, 2017",Usace -.(.,W5J9JE-17-C-0007 - (ANA) Kabul National Military Hospital El...,"Kabul, Afghanistan"
184,ORD-1774,"May 10, 2016",Mvl G.,Cultural Village Project,"Dubai, UAE"
185,ORD-1715,"Jan 10, 2017",Regional C.C.,(QR-143)  W912D2-16-D-0002-1620  CAS Main Power Plant Expans...,"Camp As Sayliyah, Doha, Qatar"
186,ORD-1616,"Oct 04, 2016",Regional C.C.,W912D2-16-P-0035 Perimeter Barriers,"Camp As Sayliyah, Doha, Qatar"
187,ORD-1615,"Oct 04, 2016",Regional C.C.,(QR-139) W912D2-16-D-0002-1625 1-43 ADA TROPO Platform ,"Camp As Sayliyah, Doha, Qatar"
188,ORD-1614,"Oct 04, 2016",Regional C.C.,(QR-136) W912D2-16-D-0002-1601 Guard Tower 16 Demolition and...,"Camp As Sayliyah, Doha, Qatar"
189,ORD-1613,"Oct 04, 2016",Regional C.C.,(QR 137) W912D2-16-D-0002-1509 Hydraulic Barricades Refurbis...,"Camp As Sayliyah, Doha, Qatar"
