No,Order Number,Order Date,Client Name,Supply of,Destination
79,ORD-6428,"Jun 30, 2023",Usace -.M.,KSA-129 W912ER23D0008 Kingdom of Saudi Arabia Multiple Award...,KSA
80,ORD-6424,"Jun 23, 2023",Navfac F.E.,"BIOT-121.46 N4008423F4547 EPROJECT 1641181, QF9010 &ndash; R...",D. GARCIA
81,ORD-6408,"Jun 14, 2023",Navfac F.E.,"BIOT-121.41 N4008423F4520 REPLACE SPLIT-TYPE A/C UNITS, UPH ...",D. GARCIA
82,ORD-6379,"May 25, 2023",Usace -.M.,KUW-129.64 W5J9JE23F0011 Upgrade the Air Traffic Control Tow...,KUWAIT
83,ORD-6357,"May 09, 2023",Usace -.M.,KUW-129.63 W5J9JE23R2001 Upgrade Installation for New Lighti...,KUWAIT
84,ORD-6309,"May 05, 2023",Usace H.H.,OCO-121.06 W912DY23F0100 PANHES-22-P-004098 for NETCOM Data ...,USA
85,ORD-6168,"Mar 03, 2023",Navfac F.E.,"BIOT-121.37 N4008423F4277 REPAIRS TO ORDNANCE OPERATIONS, F-...",D. GARCIA
86,ORD-6069,"Jan 26, 2023",Navfac F.E.,BIOT-121.19 N4008423F4078 INSTL FIRE PROTECTION/SPRINKLER SY...,D. Garcia
87,ORD-6020,"Jan 10, 2023",Usace -.d.,KUW-129.62 W912ER23F0024 Temporary Server Room Inside C30 Wa...,KUWAIT
88,ORD-5830,"Sep 28, 2022",Navsup-naval S.S.,OCO-123  N6817122DH017 GLOBAL MULTIPLE AWARD CONTRACT GMAC F...,"OCONUS, CONUS"
89,ORD-5829,"Sep 27, 2022",Usace -.M.,"UAE-123R W912ER22C0026 P-960 Triton Operational Facility,  U...",Al Dhafra
90,ORD-5828,"Sep 28, 2022",Usace S.,"USA-155 PHASE 2	W912HN22D4000- SATOC SC, NC, GA","SC, NC, GA USA"
91,ORD-5813,"Sep 20, 2022",Arcc-kuwait (.C.,KUW-122AT W912D122F0062 BU20-0046 - Udairi Landing Zone Hang...,KUWAIT
92,ORD-5798,"Sep 09, 2022",Usace -.d.,KUW-129.61 W912ER22F0139 Life and Safety Assessment for Miss...,KUWAIT
93,ORD-5793,"Aug 31, 2022",Usace -.d.,"KUW-129.37 W5J9JE22F0018  Pavement Repair, Udari Landing Zon...",KUWAIT
94,ORD-5788,"Sep 02, 2022",Usace -.d.,KUW-129.40 W5J9JE22R2002 install/plant shrubs and irrigation...,KUWAIT
95,ORD-5783,"Aug 23, 2022",Usace -.d.,KUW-129.49 W5J9JE-22-R-0006 Refurbish and Renovation of Tent...,KUWAIT
96,ORD-5782,"Aug 25, 2022",Usace -.d.,"KUW-129.60 W5J9JE22R2011, Air Traffic Control Towers at Ahme...",KUWAIT
97,ORD-5778,"Aug 24, 2022",Usace -.d.,"KUW-129.58 W5J9JE22F0024 ZN1 Curbs, CAJ",KUWAIT
98,ORD-5777,"Aug 25, 2022",Usace -.d.,KUW-129.59  W5J9JE22F0026 Air Traffic Control Towers at Ali ...,KUWAIT
99,ORD-5766,"Aug 19, 2022",Usace -.d.,"KUW-129.57 W5J9JE22F0014 ZN1 Sidewalk, Camp Arifjhan, Kuwait",KUWAIT
100,ORD-5763,"Aug 17, 2022",Usace -.d.,KUW-129.15 W5J9JE22F0020 Construct Rotational Unit Headquart...,"Camp Buehring, Kuwait"
101,ORD-5762,"Aug 18, 2022",Usace -.d.,KUW-129.56 W912ER22R2024 Refurbishment and Upgrade of the Ma...,KUWAIT
102,ORD-5761,"Aug 18, 2022",Usace -.d.,KUW-129.55 W912ER22R2015 - Refurbishment and Upgrade of Main...,KUWAIT
103,ORD-5754,"Aug 17, 2022",Navfac E.,BAH-122M D-B Small Project Expand Existing Giant Voice Jebel...,UAE
