Metric,Value
totalSpendUSD,413506227.78
totalPOs,3596
basePOs,3287
changeOrders,309
changeOrderValue,10591207.24
basePOValue,371820137.03
supplierCount,1103
entityCount,18
changeOrderGroups,191
