name,valueUSD,poCount
A F Husain L.L.C,1.0,2
HBCC - HABILE BUILDER CONSTRUCTION COMPANY,1.0,1
GEMMO SPA,0,1
(ATC) Asr Taqa Contracting,0,1
US Embassy Kabul,0,1
nat,0,1
INCOP ME,0,1
Debet Uniform MMC,0.0,1
Quliyev Alekber,0.0,2
Innovative Business Solution General Trading,0,1
