orderId,mainOrderId,poNumber,groupTotalValueUSD,groupPOCount
PO-315-1515,315,PO-315-1515-2,536.42,2
PO-315-1510,315,PO-315-1510-1,9708.76,2
PO-315-1510,315,PO-315-1510-2,9708.76,2
PO-215-1456,215,PO-215-1456-1,672.11,2
PO-215-1456,215,PO-215-1456-2,672.11,2
PO-913-513,913,PO-913-513-1,200000.27,2
PO-913-513,913,PO-913-513-3,200000.27,2
PO-613-335,613,PO-613-335-1,177417.29,2
PO-613-335,613,PO-613-335-2,177417.29,2
PO-913-516,913,PO-913-516-1,0.0,2
PO-913-516,913,PO-913-516-2,0.0,2
RFPO-1013-544,1013,RFPO-1013-544-1,18774.8,2
RFPO-1013-544,1013,RFPO-1013-544-4,18774.8,2
PO-813-454,813,PO-813-454-2,99415.48,5
PO-813-454,813,PO-813-454-3,99415.48,5
PO-813-454,813,PO-813-454-4,99415.48,5
PO-813-454,813,PO-813-454-5,99415.48,5
PO-813-454,813,PO-813-454-6,99415.48,5
PO-812-40,812,PO-812-40-1,107586.9,2
PO-812-40,812,PO-812-40-2,107586.9,2
