orderId,poCount,totalValueUSD,poNumbers,mainOrderId
PO-1005-C6013,6,103032.68,PO-1005-C6013-1; PO-1005-C6013-2; PO-1005-C6013-3; PO-1005-C6013-4; PO-1005-C6013-5; PO-1005-C6013-6,1005
RFPO-5193-E6801,5,38163.3,RFPO-5193-E6801-1; RFPO-5193-E6801-2; RFPO-5193-E6801-3; RFPO-5193-E6801-4; RFPO-5193-E6801-5,5193
RFPO-4814-M4105,5,628278.82,RFPO-4814-M4105-1; RFPO-4814-M4105-2; RFPO-4814-M4105-3; RFPO-4814-M4105-4; RFPO-4814-M4105-5,4814
PO-813-454,5,99415.48,PO-813-454-2; PO-813-454-3; PO-813-454-4; PO-813-454-5; PO-813-454-6,813
RFPO-6705-M4101,4,1138767.0,RFPO-6705-M4101-1; RFPO-6705-M4101-2; RFPO-6705-M4101-3; RFPO-6705-M4101-4,6705
RFPO-1005-E7091,4,7761.6,RFPO-1005-E7091-1; RFPO-1005-E7091-2; RFPO-1005-E7091-3; RFPO-1005-E7091-4,1005
RFPO-3742-V4261,4,8059.81,RFPO-3742-V4261-1; RFPO-3742-V4261-2; RFPO-3742-V4261-3; RFPO-3742-V4261-4,3742
PO-1005-E7011,4,19532.34,PO-1005-E7011-2; PO-1005-E7011-3; PO-1005-E7011-4; PO-1005-E7011-5,1005
PO-1005-E7005,4,137490.0,PO-1005-E7005-1; PO-1005-E7005-2; PO-1005-E7005-3; PO-1005-E7005-4,1005
PO-1005-S9043,4,8573.91,PO-1005-S9043-1; PO-1005-S9043-2; PO-1005-S9043-3; PO-1005-S9043-4,1005
PO-1094-S9089,4,14502.75,PO-1094-S9089-1; PO-1094-S9089-2; PO-1094-S9089-3; PO-1094-S9089-4,1094
PO-1094-S9090,4,1640.66,PO-1094-S9090-1; PO-1094-S9090-2; PO-1094-S9090-3; PO-1094-S9090-4,1094
PO-1005-V6971,4,41090.0,PO-1005-V6971-1; PO-1005-V6971-2; PO-1005-V6971-3; PO-1005-V6971-4,1005
PO-1192-C6000,4,60869.3,PO-1192-C6000-1; PO-1192-C6000-2; PO-1192-C6000-3; PO-1192-C6000-4,1192
PO-1005-A5306,4,39419.17,PO-1005-A5306-1; PO-1005-A5306-2; PO-1005-A5306-3; PO-1005-A5306-4,1005
RFPO-7139-S9131,3,357648.56,RFPO-7139-S9131-1; RFPO-7139-S9131-2; RFPO-7139-S9131-3,7139
RFPO-7139-S9127,3,619744.52,RFPO-7139-S9127-1; RFPO-7139-S9127-2; RFPO-7139-S9127-3,7139
RFPO-6705-V40005,3,814559.43,RFPO-6705-V40005-1; RFPO-6705-V40005-2; RFPO-6705-V40005-3,6705
RFPO-1569-O103,3,9776.22,RFPO-1569-O103-1; RFPO-1569-O103-2; RFPO-1569-O103-3,1569
RFPO-1569-V4269,3,21378.75,RFPO-1569-V4269-1; RFPO-1569-V4269-2; RFPO-1569-V4269-3,1569
RFPO-1569-14069,3,89034.72,RFPO-1569-14069-1; RFPO-1569-14069-2; RFPO-1569-14069-3,1569
RFPO-5532-V40040,3,164571.55,RFPO-5532-V40040-1; RFPO-5532-V40040-2; RFPO-5532-V40040-3,5532
RFPO-5532-V40041,3,54850.5,RFPO-5532-V40041-1; RFPO-5532-V40041-2; RFPO-5532-V40041-3,5532
RFPO-5532-V40039,3,265815.52,RFPO-5532-V40039-1; RFPO-5532-V40039-2; RFPO-5532-V40039-3,5532
RFPO-5532-M4021,3,702717.39,RFPO-5532-M4021-1; RFPO-5532-M4021-2; RFPO-5532-M4021-3,5532
RFPO-1005-V7143,3,236500.0,RFPO-1005-V7143-1; RFPO-1005-V7143-2; RFPO-1005-V7143-3,1005
RFPO-5153-C6054,3,684040.8,RFPO-5153-C6054-1; RFPO-5153-C6054-2; RFPO-5153-C6054-3,5153
RFPO-5193-A5204,3,94940.79,RFPO-5193-A5204-1; RFPO-5193-A5204-2; RFPO-5193-A5204-3,5193
RFPO-1569-O39,3,2918.99,RFPO-1569-O39-1; RFPO-1569-O39-2; RFPO-1569-O39-3,1569
RFPO-1569-S9074,3,23907.42,RFPO-1569-S9074-1; RFPO-1569-S9074-2; RFPO-1569-S9074-3,1569
RFPO-3742-V4255,3,1553786.56,RFPO-3742-V4255-1; RFPO-3742-V4255-2; RFPO-3742-V4255-3,3742
RFPO-3734-V4257A,3,292101.36,RFPO-3734-V4257A-1; RFPO-3734-V4257A-2; RFPO-3734-V4257A-3,3734
RFPO-3734-V4351,3,115055.36,RFPO-3734-V4351-1; RFPO-3734-V4351-2; RFPO-3734-V4351-3,3734
PO-1005-E7030,3,102450.0,PO-1005-E7030-1; PO-1005-E7030-2; PO-1005-E7030-3,1005
PO-1005-E7029,3,64760.0,PO-1005-E7029-1; PO-1005-E7029-2; PO-1005-E7029-3,1005
RFPO-2394-T1000,3,1272.98,RFPO-2394-T1000-1; RFPO-2394-T1000-2; RFPO-2394-T1000-3,2394
PO-1569-V4251,3,106739.28,PO-1569-V4251-1; PO-1569-V4251-2; PO-1569-V4251-3,1569
PO-1005-V6863,3,268656.72,PO-1005-V6863-1; PO-1005-V6863-2; PO-1005-V6863-3,1005
PO-1005-M4102,3,45037.51,PO-1005-M4102-1; PO-1005-M4102-2; PO-1005-M4102-3,1005
PO-315-1534,3,4042.77,PO-315-1534-1; PO-315-1534-2; PO-315-1534-3,315
RFPO-637-1260,3,5162395.14,RFPO-637-1260-1; RFPO-637-1260-2; RFPO-637-1260-3,637
RFPO-7139-V40081,2,180162.15,RFPO-7139-V40081-1; RFPO-7139-V40081-2,7139
RFPO-7139-E6831,2,26791.8,RFPO-7139-E6831-1; RFPO-7139-E6831-2,7139
RFPO-6718-V40031,2,8590.2,RFPO-6718-V40031-1; RFPO-6718-V40031-2,6718
RFPO-6705-V40173,2,3124.95,RFPO-6705-V40173-1; RFPO-6705-V40173-2,6705
RFPO-7139-V40082,2,3124.95,RFPO-7139-V40082-1; RFPO-7139-V40082-2,7139
RFPO-7139-V40086,2,10050.72,RFPO-7139-V40086-1; RFPO-7139-V40086-2,7139
RFPO-5532-M4050,2,2619.16,RFPO-5532-M4050-1; RFPO-5532-M4050-2,5532
RFPO-6705-V40161,2,184338.95,RFPO-6705-V40161-1; RFPO-6705-V40161-2,6705
RFPO-6705-A5202,2,1017.29,RFPO-6705-A5202-1; RFPO-6705-A5202-2,6705
RFPO-5829-R1512,2,38665.76,RFPO-5829-R1512-1; RFPO-5829-R1512-2,5829
RFPO-7139-V40064,2,68088.3,RFPO-7139-V40064-1; RFPO-7139-V40064-2,7139
RFPO-6705-V4362,2,3345.9,RFPO-6705-V4362-1; RFPO-6705-V4362-2,6705
RFPO-7139-V40036,2,67346.21,RFPO-7139-V40036-1; RFPO-7139-V40036-2,7139
RFPO-6705-V40159,2,1414.62,RFPO-6705-V40159-1; RFPO-6705-V40159-2,6705
RFPO-7616-M4001,2,244648.0,RFPO-7616-M4001-1; RFPO-7616-M4001-2,7616
RFPO-5829-S9105,2,29952.34,RFPO-5829-S9105-1; RFPO-5829-S9105-2,5829
RFPO-5532-M4048,2,1559.0,RFPO-5532-M4048-1; RFPO-5532-M4048-2,5532
RFPO-5532-M4106,2,3188.35,RFPO-5532-M4106-1; RFPO-5532-M4106-2,5532
RFPO-7039-E6802B,2,3597445.26,RFPO-7039-E6802B-1; RFPO-7039-E6802B-2,7039
RFPO-6705-V40149,2,466418.0,RFPO-6705-V40149-1; RFPO-6705-V40149-2,6705
RFPO-5503-A5205,2,46260.87,RFPO-5503-A5205-1; RFPO-5503-A5205-2,5503
RFPO-6705-E6836A,2,6146.41,RFPO-6705-E6836A-1; RFPO-6705-E6836A-2,6705
RFPO-6705-V40070,2,5857.24,RFPO-6705-V40070-1; RFPO-6705-V40070-2,6705
RFPO-6705-E6804,2,245712.32,RFPO-6705-E6804-1; RFPO-6705-E6804-2,6705
RFPO-6705-V40136,2,4897.11,RFPO-6705-V40136-1; RFPO-6705-V40136-2,6705
RFPO-6705-M4026,2,102167.46,RFPO-6705-M4026-1; RFPO-6705-M4026-2,6705
RFPO-7139-V40040,2,9819.98,RFPO-7139-V40040-1; RFPO-7139-V40040-2,7139
RFPO-7139-S9130,2,213400.0,RFPO-7139-S9130-1; RFPO-7139-S9130-2,7139
RFPO-6705-V40061,2,15689.84,RFPO-6705-V40061-1; RFPO-6705-V40061-2,6705
RFPO-6705-V40086,2,37736.42,RFPO-6705-V40086-1; RFPO-6705-V40086-2,6705
RFPO-6718-V40029,2,136866.91,RFPO-6718-V40029-1; RFPO-6718-V40029-2,6718
RFPO-6718-V40030,2,28499.15,RFPO-6718-V40030-1; RFPO-6718-V40030-2,6718
RFPO-6718-V40019,2,9725.1,RFPO-6718-V40019-1; RFPO-6718-V40019-2,6718
RFPO-7139-V40010A,2,22088.59,RFPO-7139-V40010A-1; RFPO-7139-V40010A-2,7139
RFPO-7039-M4101,2,7549.0,RFPO-7039-M4101-1; RFPO-7039-M4101-2,7039
RFPO-6705-V40028,2,71427.15,RFPO-6705-V40028-1; RFPO-6705-V40028-2,6705
RFPO-5532-T1003,2,42190.1,RFPO-5532-T1003-1; RFPO-5532-T1003-2,5532
RFPO-7098-E6802,2,283139.14,RFPO-7098-E6802-1; RFPO-7098-E6802-2,7098
RFPO-7139-V40031,2,133438.4,RFPO-7139-V40031-1; RFPO-7139-V40031-3,7139
RFPO-6705-M4104,2,46850.0,RFPO-6705-M4104-1; RFPO-6705-M4104-2,6705
RFPO-7139-E6811,2,11200.0,RFPO-7139-E6811-1; RFPO-7139-E6811-2,7139
RFPO-6705-V40079,2,149811.32,RFPO-6705-V40079-1; RFPO-6705-V40079-2,6705
RFPO-7039-V40020,2,2980.0,RFPO-7039-V40020-1; RFPO-7039-V40020-2,7039
RFPO-6705-E6814,2,2439.89,RFPO-6705-E6814-1; RFPO-6705-E6814-2,6705
RFPO-6705-M4018,2,3647.0,RFPO-6705-M4018-1; RFPO-6705-M4018-2,6705
RFPO-6705-V40071,2,45275.38,RFPO-6705-V40071-1; RFPO-6705-V40071-2,6705
RFPO-7139-E6805,2,134742.78,RFPO-7139-E6805-1; RFPO-7139-E6805-2,7139
RFPO-7414-P4800,2,1605.44,RFPO-7414-P4800-1; RFPO-7414-P4800-2,7414
RFPO-7139-M4005,2,12440.0,RFPO-7139-M4005-1; RFPO-7139-M4005-2,7139
RFPO-6705-V40076,2,41659.52,RFPO-6705-V40076-1; RFPO-6705-V40076-2,6705
RFPO-7139-V40022,2,7298.11,RFPO-7139-V40022-1; RFPO-7139-V40022-2,7139
RFPO-6705-E6806,2,389515.82,RFPO-6705-E6806-1; RFPO-6705-E6806-2,6705
RFPO-6705-V40063,2,18006.72,RFPO-6705-V40063-1; RFPO-6705-V40063-3,6705
RFPO-6705-V40057A,2,442.5,RFPO-6705-V40057A-1; RFPO-6705-V40057A-2,6705
