poNumber,poDate,poName,supplier,originalValue,currency,valueUSD,poSpendUSD,tax,taxUSD,netTotal,netTotalUSD,mainOrderId,orderId,entityCode,entity,material,materialCode,poVersion,isChangeOrder,poType,changeOrderGroup,changeOrderTotal,year,month,yearMonth,project
RFPO-5683-V40009A-1,04 Sep 2023,PO for Drywall Gypsum Partition Materials,BMET Building Materials Trading LLC,140347.79239999998,AED,38215.87,38215.87,0.0,0.0,140347.79239999998,38215.87,5683,RFPO-5683-V40009A,V40009A,MVL USA JV LLC,Building Materials,Various,1,False,Base PO,1,1,2023,9,2023-09,"BIOT-121.10 N4008422F4478 / N4008421R0079 X010 CONSTRUCT STORAGE ROOM &amp;amp; RENOVATE BREAKROOMS, F-937 &amp; F-938"
RFPO-5581-V40008-1,04 Sep 2023,PO for GI Pipes.,Arrow Pipes & Fittings FZCO,124770.0,AED,33974.13,33974.13,0.0,0.0,124770.0,33974.13,5581,RFPO-5581-V40008,V40008,MACRO,Building Materials,Various,1,False,Base PO,1,1,2023,9,2023-09,"BIOT-121.02 N4008421R0001-X004, EProject 1701534 REPLACE FSS FIRE PROTECTION FOAM SYSTEM FROM F-410 TO TANK 1-11 {X004}"
RFPO-5581-V40009-1,04 Sep 2023,PO for PVC Coated Tie wires,RAK Middle East Traders LLC,4550.0,AED,1238.94,1238.94,227.5,61.95,4777.5,1300.88,5581,RFPO-5581-V40009,V40009,MACRO,Building Materials,Various,1,False,Base PO,1,1,2023,9,2023-09,"BIOT-121.02 N4008421R0001-X004, EProject 1701534 REPLACE FSS FIRE PROTECTION FOAM SYSTEM FROM F-410 TO TANK 1-11 {X004}"
RFPO-5503-V40009-1,01 Sep 2023,"PO for CRAHU-01A, CRAHU-01B - ST UPU 30",I.G.KARAKATSANIS & CO P.G.,185450.0,EURO,201576.09,201576.09,44508.0,48378.26,229958.0,249954.35,5503,RFPO-5503-V40009,V40009,MACRO,Misc.,Various,1,False,Base PO,1,1,2023,9,2023-09,GRE-121 N6247022C0002 Communications Center - Souda Bay
RFPO-5532-V40015-1,01 Sep 2023,PO for Panel Boards (Mancamp),Extol International Trading LLC,68895.0,AED,18759.7,18759.7,0.0,0.0,68895.0,18759.7,5532,RFPO-5532-V40015,V40015,MACRO,Building Materials,Various,1,False,Base PO,1,1,2023,9,2023-09,BIOT-121 N4008421D0082/N4008421R0079 AEC DB DBB MACC
RFPO-1005-V7105-1,01 Sep 2023,PO for FD8010/4inchT NBSA1,SAUDICAST- The Industrial Co. for Casting &  Sanitary Fittings,31263.0,SAR,8336.8,8336.8,4689.45,1250.52,35952.45,9587.32,1005,RFPO-1005-V7105,V7105,MICRON,Misc.,Various,1,False,Base PO,1,1,2023,9,2023-09,Transportation Of Expansion Joints From China To Nepal
RFPO-6168-V40009-1,01 Sep 2023,PO for HVAC Duct Work,FIRMAC INDUSTRIES L.L.C,13852.8,AED,3772.04,3772.04,692.64,188.6,14545.439999999999,3960.64,6168,RFPO-6168-V40009,V40009,MACRO,Building Materials,Various,1,False,Base PO,1,1,2023,9,2023-09,"BIOT-121.37 N4008423F4277 REPAIRS TO ORDNANCE OPERATIONS, F-541"
RFPO-6168-V40005-1,31 Aug 2023,PO for Non-shrink grout,AL GURG FOSROC CO LLC,630.0,AED,171.55,171.55,0.0,0.0,630.0,171.55,6168,RFPO-6168-V40005,V40005,MVL Greece,Building Materials,Various,1,False,Base PO,1,1,2023,8,2023-08,"BIOT-121.37 N4008423F4277 REPAIRS TO ORDNANCE OPERATIONS, F-541"
RFPO-5581-V40006-1,31 Aug 2023,PO for Hardware for FPFS,APP Manufacturing,148025.03999999998,USD,148025.03999999998,148025.03999999998,0.0,0,148025.03999999998,148025.03999999998,5581,RFPO-5581-V40006,V40006,MACRO,Building Materials,Various,1,False,Base PO,1,1,2023,8,2023-08,"BIOT-121.02 N4008421R0001-X004, EProject 1701534 REPLACE FSS FIRE PROTECTION FOAM SYSTEM FROM F-410 TO TANK 1-11 {X004}"
RFPO-1005-V7110-1,31 Aug 2023,PO for KSA 127 Aluminum windows,TUV SUD MIDDLE EAST LLC,2000.0,AED,544.59,544.59,100.0,27.23,2100.0,571.82,1005,RFPO-1005-V7110,V7110,MICRON,Misc.,Various,1,False,Base PO,1,1,2023,8,2023-08,Transportation Of Expansion Joints From China To Nepal
RFPO-5532-V40017-1,31 Aug 2023,PO for Additonal Electrical Materials for Mancamp,Kelly & Hayes Electrical Industrial & Plumbing Supplies,17111.0,USD,17111.0,17111.0,0.0,0,17111.0,17111.0,5532,RFPO-5532-V40017,V40017,MVL USA JV LLC,Building Materials,Various,1,False,Base PO,1,1,2023,8,2023-08,BIOT-121 N4008421D0082/N4008421R0079 AEC DB DBB MACC
RFPO-1569-O50-1,30 Aug 2023,"PO for LAP LENOVO I7 - LenovoThinkpad E15 core i7-1255U, 16GB Ram, 1TB SSD ,15.FHD IPS Iris XE ,Windows 11 pro",KASPERTECH GENERAL TRADING LLC,2952.38,AED,803.92,803.92,147.619,40.2,3099.9990000000003,844.11,1569,RFPO-1569-O50,O50,MACRO,Computer Peripherals,Office Assets,1,False,Base PO,1,1,2023,8,2023-08,MVL Group Office Related POs
RFPO-5193-E6801-2,29 Aug 2023,PO for Hinged Dust Cover UNIV bl,Aklaniat Technologies LTD,28622.469999999998,SAR,7632.66,7632.66,4293.371,1144.9,32915.8405,8777.56,5193,RFPO-5193-E6801,E6801,MACRO,Electrical,Electrical,2,True,Change Order,5,5,2023,8,2023-08,"(KSA 126) W912ER21C0014 KHAMIS SIMULATOR FACILITY, KSA"
RFPO-5626-V40002-1,29 Aug 2023,"PO for Pipes, valves and accessories along with shipping costs (Invoice 21327, Original SJC PO is RWLS-0002738MVL)","Scott & From Co., Inc.",78691.1,USD,78691.1,78691.1,0.0,0,78691.1,78691.1,5626,RFPO-5626-V40002,V40002,MACRO,Building Materials,Various,1,False,Base PO,1,1,2023,8,2023-08,BIOT-121.08 N4008421R0001 - X008 EPROJECT 1380796 QF2132 - UPGRADE Q-WELLS RAW WATER LINE SYSTEM
