poNumber,poDate,poName,supplier,entity,project,material,materialCode,value,currency,year,month,mainOrderId,orderId,poType
RFPO-7039-M4000-1,18 Jun 2025,PO for Miller BIG BLUE 450 DUO CST with Trailer & Accessories,Abdullah Hashim Industrial Gases & Equipment Co. Ltd.,FIRESTOP,PO for Miller BIG BLUE 450 DUO CST with Trailer & Accessories,Mechanical,Mechanical,39432.54,USD,2025,6,7039,RFPO-7039-M4000,Base PO
RFPO-6705-M4018-2,17 Jun 2025,PO For Henan Xun HU Gulf carts - Spare Parts,"Henan XunHu Equipment Co., Ltd",MVL USA JV LLC,PO For Henan Xun HU Gulf carts - Spare Parts,Mechanical,Mechanical,1498.5,USD,2025,6,6705,RFPO-6705-M4018,Change Order
RFPO-5829-A5302-1,17 Jun 2025,"PO for Free Issued - Interior Paints  - Pump House and Facility D – 1,087 sqm",SAS express BUILDING MATERIALS TRADING LLC,MACRO,"PO for Free Issued - Interior Paints  - Pump House and Facility D – 1,087 sqm",Architectural,Architectural,14654.87,USD,2025,6,5829,RFPO-5829-A5302,Base PO
RFPO-6705-E6813-1,17 Jun 2025,PO for LSA-Electrical Additional Items,TIC LIGHT ELECTRICAL CORP,MACRO,PO for LSA-Electrical Additional Items,Electrical,Electrical,10303.76,USD,2025,6,6705,RFPO-6705-E6813,Base PO
RFPO-5532-M4035-1,17 Jun 2025,PO for Elcometer Machine and Accessories,Elcometer L.L.C.,MVL USA JV LLC,PO for Elcometer Machine and Accessories,Mechanical,Mechanical,7266.98,USD,2025,6,5532,RFPO-5532-M4035,Base PO
RFPO-7139-V40024-1,17 Jun 2025,WARNING TAPE,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MVL USA JV LLC,WARNING TAPE,Various,Various,753.86,USD,2025,6,7139,RFPO-7139-V40024,Base PO
RFPO-6705-V40096A-1,17 Jun 2025,PO for Circuit Breaker and Warning Tape,Kelly & Hayes Electrical Industrial & Plumbing Supplies,MACRO,PO for Circuit Breaker and Warning Tape,Various,Various,377.36,USD,2025,6,6705,RFPO-6705-V40096A,Base PO
RFPO-6705-V40094-1,16 Jun 2025,PO for Fire Extinguisher,"White Cap Supply Holdings, LLC",MACRO,PO for Fire Extinguisher,Various,Various,9610.6,USD,2025,6,6705,RFPO-6705-V40094,Base PO
RFPO-6705-M4018-1,16 Jun 2025,PO For Henan Xun HU Gulf carts - Spare Parts,"Henan XunHu Equipment Co., Ltd",MVL USA JV LLC,PO For Henan Xun HU Gulf carts - Spare Parts,Mechanical,Mechanical,2148.5,USD,2025,6,6705,RFPO-6705-M4018,Base PO
RFPO-6705-V40071-2,16 Jun 2025,PO for Scaffolding Accessories,"Rapid Scaffolding (Engineering) Co., Ltd",MVL USA JV LLC,PO for Scaffolding Accessories,Various,Various,22637.69,USD,2025,6,6705,RFPO-6705-V40071,Change Order
RFPO-6705-V40095-1,16 Jun 2025,PO for LSA-Interlocking Vinyl Tiles with Transition Strips,Carpet Masters & The Shutter Factory,MACRO,PO for LSA-Interlocking Vinyl Tiles with Transition Strips,Various,Various,56212.28,USD,2025,6,6705,RFPO-6705-V40095,Base PO
RFPO-1569-14326-1,16 Jun 2025,PO for Dubai Civil Defence (DCD) submission drawing preparation and approval service charge.,Keen Eye Technical Services LLC,MACRO,PO for Dubai Civil Defence (DCD) submission drawing preparation and approval service charge.,Various,Various,953.03,USD,2025,6,1569,RFPO-1569-14326,Base PO
RFPO-5193-V40014-1,13 Jun 2025,PO for DOOR HARDWARE SET   AL KHARJ - REF - NAFF/EXP/ADD/151020,NATIONAL FIRE FIGHTING MANUFACTURING FZCO,MACRO,PO for DOOR HARDWARE SET   AL KHARJ - REF - NAFF/EXP/ADD/151020,Various,Various,898.0,USD,2025,6,5193,RFPO-5193-V40014,Base PO
RFPO-7139-E6805-2,12 Jun 2025,"PO for Panel Boards, Distribution Boards and Main DB-LSA Facility",AL GHANDI SWITCHGEARS INDUSTRY,MACRO,"PO for Panel Boards, Distribution Boards and Main DB-LSA Facility",Electrical,Electrical,67950.01,USD,2025,6,7139,RFPO-7139-E6805,Change Order
RFPO-5532-V40073-1,12 Jun 2025,"PO for IT Materials (DIEGO GARCIA PROJECT, TASK NO.-Mancamp) - Q-X3550-R1",Extol International FZC,MACRO,"PO for IT Materials (DIEGO GARCIA PROJECT, TASK NO.-Mancamp) - Q-X3550-R1",Various,Various,23782.89,USD,2025,6,5532,RFPO-5532-V40073,Base PO
RFPO-7039-V40019A-1,12 Jun 2025,PO for Cable Rack,"Underground Devices, Inc.",MVL USA JV LLC,PO for Cable Rack,Various,Various,386978.0,USD,2025,6,7039,RFPO-7039-V40019A,Base PO
RFPO-5532-V40075-1,12 Jun 2025,PO for Used 40-Foot SOC Containers HC,Leeds Services Co. Pte Ltd.,MVL USA JV LLC,PO for Used 40-Foot SOC Containers HC,Various,Various,49950.0,USD,2025,6,5532,RFPO-5532-V40075,Base PO
RFPO-6646-S9100A-1,12 Jun 2025,PO for Electrical works,"Carswell Brothers Services, INC.","MVL USA, INC",PO for Electrical works,Services,Services,18532.0,USD,2025,6,6646,RFPO-6646-S9100A,Base PO
RFPO-6705-E6812-1,12 Jun 2025,PO for LSA-Hilti Additional Items,TIC LIGHT ELECTRICAL CORP,MACRO,PO for LSA-Hilti Additional Items,Electrical,Electrical,6069.8,USD,2025,6,6705,RFPO-6705-E6812,Base PO
RFPO-5829-E6819-1,12 Jun 2025,PO for AL FIKREE - PROCUREMENT SUPPORT -  Explosion Proof Wiring Accessories,Excel Electricity Transmission Apparatus Installation LLC,MACRO,PO for AL FIKREE - PROCUREMENT SUPPORT -  Explosion Proof Wiring Accessories,Electrical,Electrical,82488.77,USD,2025,6,5829,RFPO-5829-E6819,Base PO
RFPO-5829-E6820-1,12 Jun 2025,PO for AL FIKREE PROCUREMENT SUPPORT - Conduit Sealing Fittings and Sealing Compounds - Ref.:E2025000425,Excel Electricity Transmission Apparatus Installation LLC,MACRO,PO for AL FIKREE PROCUREMENT SUPPORT - Conduit Sealing Fittings and Sealing Compounds - Ref.:E2025000425,Electrical,Electrical,2640.1,USD,2025,6,5829,RFPO-5829-E6820,Base PO
RFPO-6705-V40092-1,11 Jun 2025,PO for WASH SAND WITH SLING BAG,"Pacific International, Inc",MACRO,PO for WASH SAND WITH SLING BAG,Various,Various,5316.0,USD,2025,6,6705,RFPO-6705-V40092,Base PO
RFPO-7414-P4800-2,11 Jun 2025,PO for Personal Protective Equipment (PPE) for projects in Lebanon,FARNAS GENERAL TRADING LLC,MACRO,PO for Personal Protective Equipment (PPE) for projects in Lebanon,Protection,Protection,755.07,USD,2025,6,7414,RFPO-7414-P4800,Change Order
RFPO-6705-V40093-1,11 Jun 2025,PO for ASTM testing for CMU masonry blocks & soil testing for Batch Plant,"Geo-Engineering & Testing, Inc",MACRO,PO for ASTM testing for CMU masonry blocks & soil testing for Batch Plant,Various,Various,2890.16,USD,2025,6,6705,RFPO-6705-V40093,Base PO
RFPO-7139-V4352-1,11 Jun 2025,PO for Appliances for Living Units,"Onmuse ( Suzhou ) Office Furniture Co.,Ltd",MACRO,PO for Appliances for Living Units,Various,Various,42500.0,USD,2025,6,7139,RFPO-7139-V4352,Base PO
