MaterialCode,QuotationNumber,QuotationValueUSD
Services,371,120205039.52
Various,2176,79249866.49
Electrical,468,21170699.01
Mechanical,360,14955601.03
Architectural,179,13578038.97
Fire,121,5660661.2
Chemicals,22,1642951.3
Office Assets,160,1182515.27
Rental,40,317832.52
Tools,27,210162.92
Logistics,14,112844.41
Protection,3,1746.22
