name,valueUSD,poCount
Various,329110602.47,2285
Mechanical,37848801.25,364
Electrical,26961644.79,383
Services,7565453.71,170
Architectural,5242111.31,115
Chemicals,3105127.06,49
Office Assets,2897288.55,146
Rental,1235158.1,40
Tools,245781.3,33
Fire,80964.85,26
Logistics,42766.51,4
Protection,3222.87,5
