quotationNumber,quotationDate,poDate,daysToConvert,month,orderId
RFQ-5153-V4351,2022-10-26,2022-10-26,0,2022-10,
RFQ-5410-V40001,2022-10-19,2022-10-19,0,2022-10,
RFQ-5503-V4351,2022-09-21,2022-09-21,0,2022-09,
RFQ-5327-S9073,2022-08-01,2022-08-02,1,2022-08,
RFQ-5342-M4101,2022-05-20,2022-05-20,0,2022-05,
RFQ-5270-O1,2022-03-02,2022-03-02,0,2022-03,
RFQ-5213-S9082,2021-11-09,2021-11-09,0,2021-11,
RFQ-4814-M4101,2021-11-08,2021-11-08,0,2021-11,
RFQ-2623-E6801,2020-08-27,2020-08-27,0,2020-08,
RFQ-3734-V4251,2020-08-12,2020-08-12,0,2020-08,
RFQ-3734-S9031,2020-08-12,2020-08-12,0,2020-08,
RFQ-3734-S9089,2020-07-28,2020-08-12,15,2020-07,
RFQ-3734-S9085,2020-05-06,2020-08-12,98,2020-05,
RFQ-3734-S9084,2020-04-16,2020-08-12,118,2020-04,
RFQ-3728-M4101,2020-03-10,2020-03-12,2,2020-03,
RFQ-3734-S9080A,2020-01-28,2020-08-12,197,2020-01,
RFQ-3734-S9080,2020-01-28,2020-08-12,197,2020-01,
RFQ-3734-S9079,2020-01-23,2020-08-12,202,2020-01,
RFQ-3734-S9078,2020-01-21,2020-08-12,204,2020-01,
RFQ-3734-S9077,2020-01-05,2020-08-12,220,2020-01,
RFQ-3742-S9078,2019-12-31,2020-01-08,8,2019-12,
RFQ-3742-S9077,2019-12-22,2020-01-08,17,2019-12,
RFQ-3734-S9076,2019-12-11,2020-08-12,245,2019-12,
RFQ-3742-S9074,2019-11-12,2020-01-08,57,2019-11,
RFQ-3742-S9072,2019-11-10,2020-01-08,59,2019-11,
RFQ-3728-S9072,2019-10-16,2020-03-12,148,2019-10,
RFQ-3550-R1500,2019-08-18,2019-08-19,1,2019-08,
RFQ-2797-V4351,2019-07-16,2019-07-16,0,2019-07,
RFQ-2797-S9075,2019-07-08,2019-07-16,8,2019-07,
RFQ-3473-S9071,2019-06-27,2019-06-27,0,2019-06,
RFQ-3427-S9071,2019-05-29,2019-07-22,54,2019-05,
RFQ-2952-V4251A,2019-03-24,2019-03-24,0,2019-03,
RFQ-2797-S9074,2019-03-13,2019-07-16,125,2019-03,
RFQ-2951-V4252,2019-03-10,2019-03-11,1,2019-03,
RFQ-2797-S9073,2019-02-13,2019-07-16,153,2019-02,
RFQ-2797-S9072,2019-02-04,2019-07-16,162,2019-02,
RFQ-2953-E6800,2019-01-07,2019-01-07,0,2019-01,
RFQ-2797-S9071,2018-11-29,2019-07-16,229,2018-11,
RFQ-2953-S9071,2018-11-14,2019-01-07,54,2018-11,
RFQ-2952-S9071,2018-11-14,2019-03-24,130,2018-11,
RFQ-2951-S9071,2018-11-14,2019-03-11,117,2018-11,
RFQ-2569-O2,2018-10-02,2018-10-02,0,2018-10,
RFQ-2569-O1,2018-10-02,2018-10-02,0,2018-10,
RFQ-2555-M4101,2018-06-28,2018-07-01,3,2018-06,
RFQ-2394-T1000,2018-06-20,2018-06-20,0,2018-06,
RFQ-2532-M4102,2018-05-09,2018-05-09,0,2018-05,
RFQ-2532-S9071A,2018-05-06,2018-05-09,3,2018-05,
RFQ-2394-S9077,2018-03-19,2018-06-20,93,2018-03,
RFQ-2394-S9076,2018-03-12,2018-06-20,100,2018-03,
RFQ-1613-M4103,2018-03-04,2018-03-06,2,2018-03,
RFQ-1613-M4102,2018-03-04,2018-03-06,2,2018-03,
RFQ-2152-V4351,2018-02-27,2018-02-28,1,2018-02,
RFQ-2394-S9073,2018-02-27,2018-06-20,113,2018-02,
RFQ-2394-S9072,2018-02-25,2018-06-20,115,2018-02,
RFQ-2394-S9071,2018-02-25,2018-06-20,115,2018-02,
RFQ-1094-V4352,2017-04-26,2017-04-26,0,2017-04,
RFQ-1581-V4251,2017-03-30,2017-04-02,3,2017-03,
RFQ-1593-M4102,2017-01-29,2017-01-29,0,2017-01,
RFQ-1595-V4251,2016-12-20,2016-12-22,2,2016-12,
RFQ-1608-V4251,2016-12-15,2016-12-15,0,2016-12,
RFQ-1569-V4351,2016-12-14,2016-12-14,0,2016-12,
RFQ-1592-V4251,2016-11-30,2016-11-30,0,2016-11,
RFQ-1592-T1000,2016-11-30,2016-11-30,0,2016-11,
RFQ-1592-S9074,2016-10-15,2016-11-30,46,2016-10,
RFQ-1614-V4251,2016-10-09,2016-10-09,0,2016-10,
RFQ-1428-V4253,2016-03-13,2016-03-13,0,2016-03,
RFQ-1428-V4252,2016-03-13,2016-03-13,0,2016-03,
RFQ-1005-M6985,2015-12-20,2015-12-20,0,2015-12,
RFQ-1005-F7045,2015-11-22,2015-12-20,28,2015-11,
RFQ-1005-F7044,2015-11-22,2015-12-20,28,2015-11,
RFQ-1192-V4251,2015-10-27,2015-10-27,0,2015-10,
RFQ-982-1614,2015-04-20,2015-04-20,0,2015-04,
RFQ-982-1597,2015-04-13,2015-04-20,7,2015-04,
RFQ-982-1592,2015-04-12,2015-04-20,8,2015-04,
RFQ-566-1557,2015-03-29,2015-03-29,0,2015-03,
RFQ-566-1501,2015-03-04,2015-03-29,25,2015-03,
RFQ-566-1428,2015-01-28,2015-03-29,60,2015-01,
RFQ-637-1411,2015-01-18,2015-01-19,1,2015-01,
RFQ-781-1401,2015-01-11,2015-01-11,0,2015-01,
RFQ-637-1262,2014-11-10,2015-01-19,70,2014-11,
RFQ-637-1260,2014-11-09,2015-01-19,71,2014-11,
RFQ-637-1259,2014-11-09,2015-01-19,71,2014-11,
RFQ-637-1258,2014-11-09,2015-01-19,71,2014-11,
RFQ-566-1217,2014-10-26,2015-03-29,154,2014-10,
RFQ-637-1178,2014-10-08,2015-01-19,103,2014-10,
RFQ-637-1169,2014-10-01,2015-01-19,110,2014-10,
RFQ-637-1161,2014-09-29,2015-01-19,112,2014-09,
RFQ-637-1154,2014-09-28,2015-01-19,113,2014-09,
RFQ-566-1097,2014-08-31,2015-03-29,210,2014-08,
RFQ-566-1049,2014-08-11,2015-03-29,230,2014-08,
RFQ-573-1005,2014-07-20,2014-07-21,1,2014-07,
