orderId,poCount,totalValueUSD,poNumbers,mainOrderId
3519,2,11000.0,RFPO-2569-V4252-1; RFPO-2569-V4252-2,2569
3459,2,32554.95,PO-1005-V4466-1; PO-1005-V4466-2,1005
3403,2,49180.2,PO-1428-M4101-1; PO-1428-M4101-2,1428
2834,2,5426.35,RFPO-2532-E6801-1; RFPO-2532-E6801-2,2532
2652,2,130140.39,RFPO-1005-A5204-1; RFPO-1005-A5204-2,1005
2514,2,139441.8,RFPO-982-A5201-1; RFPO-982-A5201-2,982
2401,2,33434.1,PO-1005-E6995-1; PO-1005-E6995-2,1005
2410,2,5102.98,PO-1005-E6991-1; PO-1005-E6991-2,1005
2076,2,100374.44,RFPO-1581-M4101-1; RFPO-1581-M4101-2,1581
1358,2,890.11,RFPO-982-S9091-1; RFPO-982-S9091-2,982
2011,2,4968.59,PO-1094-S9091-1; PO-1094-S9091-2,1094
1680,2,2586.6,RFPO-637-V6856-1; RFPO-637-V6856-2,637
1653,2,627.54,PO-1005-E6981-1; PO-1005-E6981-2,1005
1599,2,16228.73,PO-1005-M6995-1; PO-1005-M6995-2,1005
1574,2,716.0,RFPO-637-A5310-1; RFPO-637-A5310-2,637
1463,2,87843.16,RFPO-1192-C6051A-1; RFPO-1192-C6051A-2,1192
1416,2,74430.68,PO-1005-E6965-1; PO-1005-E6965-2,0
1312,2,3686.76,RFPO-637-A5305-1; RFPO-637-A5305-2,637
1170,2,956682.46,PO-1005-V6873-1; PO-1005-V6873-2,1005
1264,2,6864.82,RFPO-781-V4252-1; RFPO-781-V4252-2,781
1231,2,6015.44,RFPO-637-V4261-1; RFPO-637-V4261-2,637
1179,2,137358.3,RFPO-637-S9101-1; RFPO-637-S9101-2,637
1141,2,3672.62,PO-1005-M4001-1; PO-1005-M4001-2,1005
1096,2,19177.5,PO-1005-V6840-1; PO-1005-V6840-2,1005
1081,2,1965.96,PO-1005-T1004-1; PO-1005-T1004-2,1005
1045,2,19319779.18,RFPO-982-1590A-1; RFPO-982-1590A-2,982
945,2,5645.6,RFPO-497-1484-1; RFPO-497-1484-2,497
573,2,990192.0,SPO-573-1001-1; SPO-573-1001-2,0
968,2,1395.8,PO-315-1518-1; PO-315-1518-2,0
965,2,536.42,PO-315-1515-1; PO-315-1515-2,0
963,2,9708.76,PO-315-1510-1; PO-315-1510-2,0
931,2,672.11,PO-215-1456-1; PO-215-1456-2,0
594,2,1522900.0,RFPO-497-1044-1; RFSPO-497-1044-2,497
193,2,177417.29,PO-613-335-1; PO-613-335-2,158
18,2,2657171.97,ACTIVITIES-2; ACTIVITIES-1,0
291,2,0.0,PO-913-516-1; PO-913-516-2,0
289,2,18774.8,RFPO-1013-544-1; RFPO-1013-544-4,256
236,2,204650.0,PO-913-513-1; PO-713-438-1,0
